Aluno_ID,Distrito,Matematica_A,Economia_A,Portugues,MACS,Nota_Interna,Fisica_Quimica_A,Biologia_Geologia,Desenho_A,HCA,Historia_A,Geografia_A,Geometria_Descritiva_A,Historia_B,Ingles,Literatura_Portuguesa,Espanhol_Iniciacao,Filosofia,Frances,Espanhol_Continuacao,Mandarim_Iniciacao,Alemao,Portugues_LNM,Latim_A,Matematica_B,Portugues_L2
2022_27,Braga,38.0,,71,,100,69.0,57.0,,,,,,,,,,,,,,,,,,
2022_28,Braga,,,125,,144,,,,,140.0,,,,,141.0,,,,,,,,,,
2022_29,Porto,177.0,,132,,170,171.0,167.0,,,,,,,,,,,,,,,,,,
2022_30,Porto,,,105,,128,,,,,117.0,,,,,118.0,,,,,,,,,,
2022_31,Lisboa,,,123,,141,,,,,131.0,,,,,125.0,,,,,,,,,,
2022_32,Lisboa,190.0,,196,,200,176.0,,,,,,198.0,,,,,,,,,,,,,
2022_33,Lisboa,,,135,,158,,,,,152.0,148.0,,,,,,,,,,,,,,
2022_34,Lisboa,160.0,,131,,152,129.0,130.0,,,,,,,,,,,,,,,,,,
2022_35,Coimbra,,,118,,156,,,152.0,,,,145.0,,,,,,,,,,,,,
2022_36,Coimbra,161.0,,137,,156,137.0,,,,,,131.0,,,,,,,,,,,,,
2022_37,Lisboa,,,134,,161,,,,,139.0,,,,165.0,,,,,,,,,,,
2022_38,Outro,177.0,,147,,176,167.0,171.0,,,,,,,,,,,,,,,,,,
2022_39,Lisboa,117.0,,117,,125,120.0,98.0,,,,,,,,,,,,,,,,,,
2022_40,Porto,,,95,,130,,,,,103.0,,,,144.0,,,,,,,,,,,
2022_41,Setúbal,132.0,,115,,134,125.0,126.0,,,,,,,,,,,,,,,,,,
2022_42,Outro,,,85,,104,,,128.0,,,,65.0,,,,,,,,,,,,,
2022_43,Lisboa,162.0,,130,,150,133.0,118.0,,,,,,,,,,,,,,,,,,
2022_44,Outro,121.0,,96,,119,121.0,,,,,,90.0,,,,,,,,,,,,,
2022_45,Braga,,,138,,172,,,,,168.0,155.0,,,,,,,,,,,,,,
2022_46,Coimbra,,,56,,100,,,,,68.0,,,,83.0,,,,,,,,,,,
2022_47,Lisboa,167.0,,141,,179,143.0,,,,,,178.0,,,,179.0,,,,,,,,,
2022_48,Braga,129.0,,120,,125,133.0,,,,,,105.0,,,,,,,,,,,,,
2022_49,Outro,,,125,,153,,,167.0,,,,126.0,,,,,,,,,,,,,
2022_50,Setúbal,,,146,,165,,,,,157.0,145.0,,,,,,,,,,,,,,
2022_51,Lisboa,,,128,,147,,,,,142.0,,,,,125.0,,,,,,,,,,
2022_52,Braga,,,196,,200,,,200.0,178.0,,,,,,,,,,,,,,,,
2022_53,Outro,160.0,,138,,163,156.0,136.0,,,,,,,,,,,,,,,,,,
2022_54,Lisboa,,,158,,180,,,,,173.0,,,,,178.0,,,,,,,,,,
2022_55,Outro,190.0,177.0,186,163.0,186,,,,,,,,,,,,,,,,,,,,
2022_56,Setúbal,123.0,,100,,121,101.0,89.0,,,,,,,,,,,,,,,,,,
2022_57,Braga,186.0,200.0,155,,196,,,,,,192.0,,,,,,,,,,,,,,
2022_58,Outro,115.0,,116,,126,130.0,105.0,,,,,,,,,,,,,,,,,,
2022_59,Braga,,,120,,143,,,,,141.0,,,,,128.0,,,,,,,,,,
2022_60,Porto,,,107,,125,,,,,123.0,101.0,,,,,,,,,,,,,,
2022_61,Setúbal,190.0,,165,,200,199.0,197.0,,,,,,,,,,,,,,,,,,
2022_62,Outro,,,132,118.0,150,,,,,146.0,,,,,,,,,,,,,,,
2022_63,Porto,175.0,,150,,183,166.0,,,,,,148.0,,,,,,,,,,,,,
2022_64,Faro,,,125,,145,,,,,138.0,122.0,,,,,,,,,,,,,,
2022_65,Porto,141.0,,107,,133,127.0,117.0,,,,,,,,,,,,,,,,,,
2022_66,Leiria,95.0,79.0,72,,100,,,,,,101.0,,,,,,,,,,,,,,
2022_67,Porto,185.0,,136,,169,150.0,158.0,,,,,,,,,,,,,,,,,,
2022_68,Setúbal,98.0,,103,,113,104.0,,,,,,81.0,,,,,,,,,,,,,
2022_69,Porto,,,157,,186,,,200.0,169.0,,,,,,,,,,,,,,,,
2022_70,Outro,,,196,,200,,,,,175.0,,,,200.0,,,,,,,,,,,
2022_71,Braga,176.0,,159,,180,180.0,175.0,,,,,,,,,,,,,,,,,,
2022_72,Outro,176.0,,139,,183,177.0,,,,,,169.0,,,,,,,,,,,,,
2022_73,Braga,157.0,,122,,150,127.0,,,,,,127.0,,,,,,,,,,,,,
2022_74,Outro,,,136,,161,,,161.0,146.0,,,,,,,,,,,,,,,,
2022_75,Coimbra,195.0,,150,,190,165.0,,,,,,199.0,,,,,,,,,,,,,
2022_76,Lisboa,,,121,,139,,,,,127.0,129.0,,,,,,,,,,,,,,
2022_77,Coimbra,,,111,,130,,,,,120.0,111.0,,,,,,,,,,,,,,
2022_78,Lisboa,,,78,,100,,,,,87.0,,,,,83.0,,,,,,,,,,
2022_79,Lisboa,122.0,,105,,114,96.0,86.0,,,,,,,,,,,,,,,,,,
2022_80,Outro,170.0,,125,,154,139.0,137.0,,,,,,,,,,,,,,,,,,
2022_81,Porto,120.0,113.0,101,,120,,,,,,110.0,,,,,,,,,,,,,,
2022_82,Porto,185.0,,140,,179,174.0,163.0,,,,,,,,,,,,,,,,,,
2022_83,Porto,97.0,103.0,96,100.0,102,,,,,,,,,,,,,,,,,,,,
2022_84,Braga,109.0,,102,,110,95.0,,,,,,91.0,,,,,,,,,,,,,
2022_85,Coimbra,138.0,107.0,117,100.0,138,,,,,,,,,,,,,,,,,,,,
2022_86,Porto,101.0,,95,,110,88.0,82.0,,,,,,,,,,,,,,,,,,
2022_87,Outro,,,103,109.0,122,,,,,116.0,,,,,,,,,,,,,,,
2022_88,Lisboa,115.0,,102,,134,126.0,100.0,,,,,,,,,,,,,,,,,,
2022_89,Outro,120.0,118.0,115,,131,,,,,,117.0,,,,,,,,,,,,,,
2022_90,Porto,,,135,,152,,,,,150.0,150.0,,,,,,,,,,,,,,
2022_91,Outro,,,115,,154,,,156.0,142.0,,,,,,,,,,,,,,,,
2022_92,Outro,,,77,,100,,,125.0,,,,55.0,,,,,,,,,,,,,
2022_93,Lisboa,,,75,59.0,100,,,,,108.0,,,,,,,,,,,,,,,
2022_94,Lisboa,199.0,,154,,200,199.0,,,,,,200.0,,,,,,,,,,,,,
2022_95,Porto,188.0,178.0,155,,181,,,,,,152.0,,,,,,,,,,,,,,
2022_96,Lisboa,185.0,,140,,174,158.0,168.0,,,,,,,,,,,,,,,,,,
2022_97,Outro,199.0,183.0,168,170.0,191,,,,,,,,,,,,,,,,,,,,
2022_98,Coimbra,196.0,,156,,183,172.0,171.0,,,,,,,,,,,,,,,,,,
2022_99,Outro,,,119,,136,,,,,129.0,,,,,128.0,,,,,,,,,,
2022_100,Porto,125.0,,97,,118,113.0,101.0,,,,,,,,,,,,,,,,,,
2022_101,Braga,177.0,165.0,136,153.0,168,,,,,,,,,,,,,,,,,,,,
2022_102,Outro,,,145,142.0,164,,,,,172.0,,,,,,,,,,,,,,,
2022_103,Lisboa,138.0,125.0,115,,139,,,,,,120.0,,,,,,,,,,,,,,
2022_104,Lisboa,156.0,,123,,151,136.0,124.0,,,,,,,,,,138.0,,,,,,,,
2022_105,Faro,105.0,,106,,123,117.0,102.0,,,,,,,,,,,,,,,,,,
2022_106,Outro,149.0,,118,,147,141.0,110.0,,,,,,,,,,,,,,,,,,
2022_107,Porto,179.0,152.0,135,,168,,,,,,138.0,,,,,,,,,,,,,,
2022_108,Braga,,,120,,157,,,159.0,,,,148.0,,,,,,,,,,,,,
2022_109,Porto,179.0,,147,,172,152.0,166.0,,,,,,,,,,,,,,,,,,
2022_110,Lisboa,,,120,,155,,,,,141.0,,,156.0,177.0,,,,,,,,,,,
2022_111,Outro,,,196,,194,,,192.0,165.0,,,,,,,,,,,,,,,,
2022_112,Porto,,,115,100.0,138,,,,,120.0,,,,,,,,156.0,,,,,,,
2022_113,Porto,196.0,,149,,194,179.0,,,,,,195.0,,,,,,,,,,,,,
2022_114,Leiria,199.0,,147,,192,175.0,167.0,,,,,,,,,,,,,,,,,,
2022_115,Faro,,,156,,188,,,180.0,,,,171.0,,,177.0,,,,,,,,,,
2022_116,Outro,115.0,,95,,115,105.0,87.0,,,,,,,,,,,,,,,,,,
2022_117,Lisboa,141.0,,120,,150,152.0,136.0,,,,,,,,,,,,,,,,,,
2022_118,Porto,,,136,,162,,,,,150.0,,,,,177.0,,,,,,,,,,
2022_119,Porto,,,196,,199,,,,,168.0,,,,,167.0,,,,,,,,,,
2022_120,Setúbal,131.0,,119,,142,116.0,116.0,,,,,,,,,,,,,,,,,,
2022_121,Braga,169.0,,135,,158,155.0,125.0,,,,,,,,,,,,,,,,,,
2022_122,Coimbra,,,126,,140,,,,,132.0,130.0,,,,,,,,,,,,,,
2022_123,Lisboa,,,136,,151,,,,,145.0,138.0,,,,,,,,,,,,,,
2022_124,Lisboa,181.0,,157,,187,165.0,,,,,,192.0,,,,,,,,,,,,,
2022_125,Braga,,,122,126.0,140,,,,,136.0,,,,,,,,,,,,,,,
2022_126,Braga,,,135,,174,,,174.0,,,,161.0,,,,,,,,,,,,,
2022_127,Outro,,,140,,172,,,,,160.0,161.0,,,,,,,,,,,,,,
2022_128,Coimbra,,,159,,176,,,,,168.0,,,,,168.0,,,,,,,,,,
2022_129,Outro,,,75,,123,,,,,106.0,,,,138.0,,,,,,,,,,,
2022_130,Coimbra,180.0,,159,,181,158.0,,,,,,178.0,,,,,,,,,,,,,
2022_131,Outro,179.0,,148,,179,171.0,159.0,,,,,,,,,,,,,,,,,,
2022_132,Lisboa,157.0,145.0,139,140.0,159,,,,,,,,,,,,,,,,,,,,
2022_133,Setúbal,196.0,,159,,183,178.0,162.0,,,,,,,,,,,,,,,,,,
2022_134,Lisboa,,,148,,170,,,,,155.0,,,,,165.0,,,,,,,,,,
2022_135,Braga,145.0,,119,,134,116.0,,,,,,98.0,,,,,,,,,,,,,
2022_136,Leiria,188.0,,160,,198,192.0,197.0,,,,,,,,,,,,,,,,,,
2022_137,Porto,158.0,,123,,154,149.0,140.0,,,,,,,,,,,,,,,,,,
2022_138,Porto,,,75,,104,,,,,100.0,,,,,95.0,,,,,,,,,,
2022_139,Braga,,,147,143.0,155,,,,,146.0,,,,,,,,,,,,,,,
2022_140,Leiria,,,180,152.0,186,,,,,178.0,,,,,,,,,,,,,,,
2022_141,Lisboa,,,116,,130,,,156.0,,,,105.0,,,,,,,,,,,,,
2022_142,Lisboa,185.0,200.0,196,155.0,196,,,,,,,,,,,,,,,,,,,,
2022_143,Lisboa,139.0,,110,,134,130.0,,,,,,98.0,,,,,,,,,,,,,
2022_144,Outro,85.0,,97,,110,110.0,95.0,,,,,,,,,,,,,,,,,,
2022_145,Faro,,,96,89.0,111,,,,,115.0,,,,,,,,,,,,,,,
2022_146,Coimbra,156.0,,126,,162,158.0,124.0,,,,,,,,,,,,,,,,,,
2022_147,Outro,151.0,,118,,153,142.0,126.0,,,,,,,,,,,,,,,,,,
2022_148,Lisboa,160.0,,124,,146,126.0,,,,,,130.0,,,,,,,,,,,,,
2022_149,Porto,,,138,137.0,159,,,,,158.0,,,,,,,,,,,,,,,
2022_150,Outro,,,116,,141,,,,,136.0,,,,,116.0,,,,,,,,,,
2022_151,Outro,,,126,,158,,,,,154.0,,,,,159.0,,,,,,,,,,
2022_152,Lisboa,140.0,,126,,146,135.0,,,,,,98.0,,,,,,,,,,,,,
2022_153,Faro,,,196,,200,,,,,187.0,,,,185.0,,,,,,,,,,,
2022_154,Porto,143.0,,125,,153,132.0,131.0,,,,,,,,,,,,,,,,,,
2022_155,Lisboa,171.0,,135,,169,147.0,,,,,,151.0,,,,,,,,,,,,,
2022_156,Coimbra,,,108,,157,,,,,138.0,,,,164.0,,,,159.0,,,,,,,
2022_157,Lisboa,120.0,,117,,133,111.0,117.0,,,,,,,,,,,,,,,,,,
2022_158,Porto,,,145,152.0,173,,,,,157.0,,,,,,,,,,,,,,,
2022_159,Faro,,,160,,190,,,185.0,,,,186.0,,,,,,,,,,,,,
2022_160,Lisboa,,,138,160.0,160,,,,,150.0,,,,,,,,,,,,,,,
2022_161,Braga,,,118,,141,,,144.0,128.0,,,,,,,,,,,,,,,,
2022_162,Setúbal,78.0,,89,,100,95.0,79.0,,,,,,,,,,,,,,,,,,
2022_163,Setúbal,,,131,124.0,138,,,,,137.0,,,,,,,,,,,,,,,
2022_164,Setúbal,145.0,,112,,142,121.0,,,,,,123.0,,,,,,,,,,,,,
2022_165,Braga,188.0,,161,,197,199.0,167.0,,,,,,,,,,,,,,,,,,
2022_166,Leiria,57.0,,89,,100,75.0,63.0,,,,,,,,,,,,,,,,,,
2022_167,Coimbra,,,79,68.0,110,,,,,110.0,,,,,,,,,104.0,,,,,,
2022_168,Porto,136.0,119.0,115,112.0,142,,,,,,,,,,,,,,,,,,,,
2022_169,Outro,134.0,,116,,131,123.0,,,,,,90.0,,,,,,,,,,,,,
2022_170,Outro,,,116,,140,,,,,137.0,126.0,,,,,,,,,,,,,,
2022_171,Porto,171.0,161.0,131,,164,,,,,,136.0,,,,,,,,,,,,,,
2022_172,Lisboa,,,98,,136,,,,,117.0,,,,159.0,,,,,,,,,,,
2022_173,Porto,,,147,190.0,185,,,,,162.0,,,,,,,,,,,,,,,
2022_174,Lisboa,,,151,,164,,,,,146.0,,,,,166.0,,,,,,,,,,
2022_175,Braga,176.0,,140,,169,156.0,158.0,,,,,,,,,,,,,,,,,,
2022_176,Outro,44.0,,65,,100,44.0,,,,,,20.0,,,,,,,,,,,,,
2022_177,Lisboa,,,106,,134,,,150.0,,,,84.0,,,,,,,,,,,,,
2022_178,Lisboa,,,156,157.0,185,,,,,200.0,,,,,,,,,,,,,,,
2022_179,Braga,150.0,,137,,163,146.0,125.0,,,,,,,,,,,,,,,,,,
2022_180,Porto,196.0,,158,,199,181.0,,,,,,200.0,,184.0,,,,,,,,,,,
2022_181,Lisboa,146.0,,105,,135,133.0,,,,,,103.0,,,,,,,,,,,,,
2022_182,Braga,,,141,145.0,159,,,,,150.0,,,,,,,,,,,,,,,
2022_183,Leiria,140.0,128.0,123,123.0,130,,,,,,,,,,,,,,,,,,,,
2022_184,Outro,73.0,,70,,100,93.0,63.0,,,,,,,,,,,,,,,,,,
2022_185,Setúbal,177.0,149.0,151,,176,,,,,,155.0,,,,,,,,,,,,,,
2022_186,Lisboa,129.0,,115,,137,116.0,120.0,,,,,,,,,,,,,,,,,,
2022_187,Outro,159.0,,145,,171,158.0,,,,,,161.0,,,,,,,,,,,,,
2022_188,Lisboa,,,139,,175,,,,,179.0,158.0,,,,,,,,,,,,,,
2022_189,Braga,,,196,,200,,,181.0,200.0,,,,,,,,,,,,,,,,
2022_190,Outro,88.0,,96,,103,96.0,80.0,,,,,,,,,,,,,,,,,,
2022_191,Outro,,,129,,155,,,,,148.0,143.0,,,,,,,,,,,,,,
2022_192,Braga,156.0,,140,,152,137.0,138.0,,,,,,,,,,,,,,,,,,
2022_193,Outro,,,137,,159,,,,,149.0,,,,,147.0,,,,,,,,,,
2022_194,Outro,144.0,,115,,145,135.0,116.0,,,,,,,,,,,,,,,,,,
2022_195,Coimbra,160.0,132.0,131,138.0,170,,,,,,,,,,,,,,,191.0,,,,,
2022_196,Lisboa,159.0,,129,,166,157.0,157.0,,,,,,,,,,,,,,,,,,
2022_197,Porto,155.0,,121,,146,128.0,,,,,,132.0,,,,,,,,,,,,,
2022_198,Porto,161.0,,126,,152,146.0,,,,,,115.0,,,,,,,,,,,,,
2022_199,Outro,189.0,,142,,171,154.0,162.0,,,,,,,,,,,,,,,,,,
2022_200,Coimbra,,,103,116.0,126,,,,,121.0,,,,,,,,,,,,,,,
2022_201,Lisboa,131.0,,116,,135,125.0,132.0,,,,,,,,,,,,,,,,,,
2022_202,Coimbra,143.0,,111,,137,135.0,109.0,,,,,,,,,,,,,,,,,,
2022_203,Faro,,,125,,158,,,,,154.0,,,,176.0,,,,,,,,,,,
2022_204,Outro,191.0,,196,,197,167.0,182.0,,,,,,,,,,,,,,,,,,
2022_205,Braga,,,155,157.0,170,,,,,166.0,,,,,,,,,,,,,,,
2022_206,Porto,180.0,,147,,181,168.0,,,,,,195.0,,,,,,,,,,,,,
2022_207,Lisboa,125.0,,105,,131,114.0,,,,,,99.0,,,,,,,,,,,,,
2022_208,Braga,,,186,,196,,,,,182.0,,,,,200.0,,,,,,,,,,
2022_209,Faro,,,90,,107,,,128.0,,,,59.0,,,,,,,,,,,,,
2022_210,Lisboa,,,126,,155,,,,,140.0,,,,,166.0,,,,,,,,,,
2022_211,Braga,,,117,,135,,,,,139.0,120.0,,,,,,,,,,,,,,
2022_212,Porto,189.0,196.0,166,165.0,195,,,,,,,,,,,,,,,,,,,,
2022_213,Lisboa,,,101,,138,,,,,124.0,,,,147.0,,,,,,,,,,,
2022_214,Outro,148.0,,117,,138,125.0,116.0,,,,,,,,,,,,,,,,,,
2022_215,Lisboa,178.0,,137,,169,159.0,141.0,,,,,,,,,,,,,,,,,,
2022_216,Lisboa,106.0,,99,,116,109.0,,,,,,78.0,,,,,,,,,,,,,
2022_217,Outro,162.0,,133,,174,160.0,,,,,,163.0,,,,,,,,,,,,,
2022_218,Outro,,,168,,187,,,,,186.0,156.0,,,,,,,,,,,,,,
2022_219,Porto,,,129,,153,,,,,145.0,137.0,,,,,,,,,,,,,,
2022_220,Outro,186.0,,196,,199,177.0,167.0,,,,,,,,,,,,,,,,,,
2022_221,Porto,133.0,,107,,138,119.0,117.0,,,,,,,,,,,,,,,,,,
2022_222,Lisboa,,,196,,200,,,,,184.0,,,,,200.0,,,,,,,,,,
2022_223,Outro,97.0,,97,,100,82.0,71.0,,,,,,,,,,,,,,,,,,
2022_224,Faro,165.0,145.0,142,,159,,,,,,142.0,,,,,,,,,,,,,,
2022_225,Setúbal,,,196,,196,,,,,170.0,192.0,,,,,,,,,,,,,,
2022_226,Leiria,,,106,,132,,,147.0,125.0,,,,,,,,,,,,,,,,
2022_227,Porto,171.0,,140,,162,136.0,121.0,,,,,,,,,,,,,,,,,,
2022_228,Outro,,,136,,166,,,,,150.0,,,,185.0,,,,,,,,,,,
2022_229,Porto,,,86,,108,,,106.0,95.0,,,,,,,,,,,,,,,,
2022_230,Porto,,,136,,158,,,,,145.0,,,,,148.0,,,,,,,,,,
2022_231,Porto,,,112,121.0,142,,,,,130.0,,,,160.0,,,,,,,,,,,
2022_232,Porto,,,119,,155,,,170.0,141.0,,,,,,,,,,,,,,,,
2022_233,Outro,,,112,,145,,,,,125.0,,,,156.0,,,,,,,,,,,
2022_234,Outro,,,101,107.0,115,,,,,110.0,,,,,,,,,,,,,,,
2022_235,Porto,108.0,110.0,109,101.0,123,,,,,,,,,,,,,,,,,,,,
2022_236,Porto,172.0,,140,,172,161.0,161.0,,,,,,,,,,,,,,,,,,
2022_237,Leiria,,,107,,129,,,,,127.0,115.0,,,,,,,,,,,,,,
2022_238,Lisboa,,,113,,151,,,,,131.0,,,,166.0,,,,,,,,,,,
2022_239,Outro,157.0,166.0,127,,155,,,,,,143.0,,,,,,,,,,,,,,
2022_240,Outro,165.0,,126,,160,162.0,141.0,,,,,,,,,,,,,,,,,,
2022_241,Lisboa,121.0,,108,,125,111.0,103.0,,,,,,,,,,,,,,,,,,
2022_242,Lisboa,,,169,,193,,,180.0,170.0,,,,,,,,,,,,,,,,
2022_243,Outro,,,137,,162,,,159.0,149.0,,,,,,,,,,,,,,,,
2022_244,Outro,,,131,,144,,,156.0,,,,121.0,,,,,,,,,,,,,
2022_245,Setúbal,,,119,122.0,140,,,,,137.0,,,,,,,,,,,,,,,
2022_246,Porto,179.0,,161,,193,177.0,,,,,,192.0,,,,,,,,,,,,,
2022_247,Outro,175.0,,167,,180,171.0,149.0,,,,,,,,,,,,,,,,,,
2022_248,Outro,,,97,,112,,,,,116.0,102.0,,,,,,,,,,,,,,
2022_249,Coimbra,,,123,,137,,,159.0,,,,116.0,,,,,,,,,,,,,
2022_250,Outro,,,136,135.0,163,,,,,165.0,,,,,,,,,,,,,,,
2022_251,Porto,,,126,109.0,131,,,,,133.0,,,,,,,,,,,,,,,
2022_252,Porto,,,160,,190,,,175.0,178.0,,,,,,,,,,,,,,,,
2022_253,Porto,127.0,,110,,135,142.0,108.0,,,,,,,,,,,,,,,,,,
2022_254,Braga,,,115,,142,,,156.0,,,,105.0,,,,,,,,,,,,,
2022_255,Faro,85.0,,86,,104,107.0,76.0,,,,,,,,,,,,,,,,,,
2022_256,Lisboa,,,136,,154,,,,,135.0,,,,,131.0,,,,,,,,,,
2022_257,Lisboa,,,121,,153,,,,,137.0,,,,165.0,,,,,,,,,,,
2022_258,Porto,95.0,,98,,110,113.0,87.0,,,,,,,,,,,,,,,,,,
2022_259,Outro,,,91,,108,,,,,108.0,,,,,95.0,,,,,,,,,,
2022_260,Setúbal,,,156,,172,,,,,146.0,,,,180.0,,,,,,,,,,,
2022_261,Porto,,,147,,163,,,171.0,,,,140.0,,,,,,,,,,,,,
2022_262,Lisboa,,,137,,171,,,,,166.0,,,,182.0,,,,,,,,,,,
2022_263,Porto,,,130,,167,,,,,156.0,,,,176.0,,,,,,,,,,,
2022_264,Faro,,,126,,160,,,,,146.0,,,,175.0,,,,,,,,,,,
2022_265,Outro,155.0,162.0,139,,167,,,,,,140.0,,,,,,,,,,,,,,
2022_266,Braga,180.0,,146,,179,155.0,,,,,,170.0,,,,,,,,,,,,,
2022_267,Lisboa,142.0,,107,,125,115.0,105.0,,,,,,,,,,,,,,,,,,
2022_268,Porto,75.0,,88,,100,86.0,88.0,,,,,,,,,,,,,,,,,,
2022_269,Lisboa,176.0,,140,,170,146.0,,,,,,165.0,,,,,,,,,,,,,
2022_270,Setúbal,185.0,,147,,183,179.0,164.0,,,,,,,,,,,,,,,,,,
2022_271,Outro,161.0,,129,,152,151.0,136.0,,,,,,,,,,,,,,,,,,
2022_272,Porto,,,95,,123,,,,,106.0,,,,145.0,,,,,,,,,,,
2022_273,Outro,150.0,,110,,136,121.0,127.0,,,,,,,,,,,,,,,,,,
2022_274,Porto,200.0,,196,,200,199.0,,,,,,200.0,,,,,,,,,,,,,
2022_275,Braga,143.0,,124,,150,149.0,118.0,,,,,,,,,,,,,,,,,,
2022_276,Porto,170.0,,130,,156,150.0,148.0,,,,,,,,,,,,,,,,,,
2022_277,Outro,140.0,,131,,150,133.0,135.0,,,,,,,,,,,,,,,,,,
2022_278,Braga,,,101,,123,,,139.0,107.0,,,,,,,,,,,,,,,,
2022_279,Outro,135.0,,100,,130,108.0,108.0,,,,,,,,,,,,,,,,,,
2022_280,Porto,,,127,,166,,,166.0,145.0,,,,,,,,151.0,,,,,,,,
2022_281,Setúbal,,,105,,125,,,,,115.0,119.0,,,,,,,,,,,,,,
2022_282,Faro,137.0,132.0,121,108.0,141,,,,,,,,,,,,,,,,,,,,
2022_283,Outro,,,125,,148,,,,,145.0,,,,,128.0,,,,,,,,,,
2022_284,Lisboa,159.0,,126,,150,145.0,,,,,,119.0,,,,,,,,,,,,,
2022_285,Lisboa,,,140,,164,,,160.0,155.0,,,,,,,,,,,,,,,,
2022_286,Lisboa,120.0,,115,,135,125.0,,,,,,120.0,,,,,,,,,,,,,
2022_287,Lisboa,200.0,,196,,200,171.0,190.0,,,,,,,,,,,,,,,,,,
2022_288,Braga,191.0,,141,,162,159.0,146.0,,,,,,,,,,,,,,,,,,
2022_289,Coimbra,105.0,,106,,110,103.0,93.0,,,,,,,,,,,,,,,,,,
2022_290,Outro,,,131,,144,,,,,139.0,129.0,,,,,,,,,,,,,,
2022_291,Setúbal,175.0,,143,,172,,,,,156.0,137.0,,,,,,,,,,,,,,
2022_292,Lisboa,,,125,134.0,144,,,,,138.0,,,,,,,,,,,,,,,
2022_293,Outro,165.0,,138,,166,159.0,137.0,,,,,,,,,,,,,,,,,,
2022_294,Leiria,,,166,200.0,200,,,,,170.0,,,,,,,,,,,,,,,
2022_295,Outro,165.0,,140,,169,152.0,,,,,,158.0,,,,,,,,,,,,,
2022_296,Lisboa,185.0,,173,,188,165.0,171.0,,,,,,,,,,,,,,,,,,
2022_297,Lisboa,130.0,,108,,123,115.0,88.0,,,,,,,,,,,,,,,,,,
2022_298,Leiria,195.0,,184,,200,182.0,,,,,,200.0,,,,,,,,,,,,,
2022_299,Lisboa,175.0,,154,,180,173.0,,,,,,190.0,,,,,,,,,,,,,
2022_300,Setúbal,,,67,,100,,,,,98.0,,,,,87.0,,,,,,,,,,
2022_301,Outro,152.0,131.0,130,135.0,151,,,,,,,,,,,,,,,,,,,,
2022_302,Lisboa,,,92,85.0,106,,,,,106.0,,,,,,,,,,,,,,,
2022_303,Lisboa,185.0,,171,,187,176.0,150.0,,,,,,,,,,,,,,,,,,
2022_304,Lisboa,155.0,147.0,141,123.0,155,,,,,,,,,,,,,,,,,,,,
