Aluno_ID,Distrito,Desenho_A,Portugues,HCA,Nota_Interna,Historia_A,MACS,Ingles,Geografia_A,Matematica_A,Fisica_Quimica_A,Geometria_Descritiva_A,Literatura_Portuguesa,Filosofia,Economia_A,Biologia_Geologia,Matematica_B,Portugues_L2,Espanhol_Iniciacao,Mandarim_Iniciacao,Espanhol_Continuacao,Alemao,Frances,Portugues_LNM,Latim_A,Historia_B
2020_53,Outro,,165,,184,,156.0,,,182.0,,,,,180.0,,,,,,,,,,,
2020_54,Outro,,116,,121,,75.0,,,144.0,,,,,117.0,,,,,,,,,,,
2020_55,Faro,,172,,194,185.0,,,178.0,,,,,,,,,,,,,,,,,
2020_56,Braga,,160,,200,196.0,,,200.0,,,,,,,,,,,,,,,,,
2020_57,Lisboa,,169,,195,,,,,186.0,187.0,,,,,174.0,,,,,,,,,,
2020_58,Outro,,115,,146,133.0,,162.0,,,,,,,,,,,,,,,,,,
2020_59,Lisboa,,107,,139,135.0,,,124.0,,,,,,,,,,,,,,,,,
2020_60,Porto,,117,,154,,,,,150.0,142.0,,,,,143.0,,,,,,,,,,
2020_61,Lisboa,,159,,190,178.0,,193.0,,,,,,,,,,,,,,,,,,
2020_62,Faro,,135,,176,,,,,158.0,164.0,,,,,167.0,,,,,,,,,,
2020_63,Lisboa,,145,,162,,,,159.0,164.0,,,,,147.0,,,,,,,,,,,
2020_64,Braga,157.0,136,151.0,159,,,,,,,,,,,,,,,,,,,,,
2020_65,Outro,,165,,198,194.0,189.0,,,,,,,,,,,,,,,,,,,
2020_66,Lisboa,,155,,187,,,,178.0,177.0,,,,,161.0,,,,,,,,,,,
2020_67,Outro,153.0,129,141.0,156,,,,,,,,,,,,,,,,,,,,,
2020_68,Lisboa,,115,,129,147.0,83.0,,,,,,,,,,,,,,,,,,,
2020_69,Lisboa,,147,,174,,,,,171.0,174.0,,,,,177.0,,,,,,,,,,
2020_70,Lisboa,,170,,186,188.0,,,176.0,,,,,,,,,,,,,,,,,
2020_71,Lisboa,,161,,180,177.0,,,177.0,,,,,,,,,,,,,,,,,
2020_72,Porto,,120,,145,,,,,137.0,133.0,,,,,155.0,,,,,,,,,,
2020_73,Lisboa,,140,,179,,,,,165.0,174.0,,,,,169.0,,,,,,,,,,
2020_74,Lisboa,,151,,179,182.0,,,160.0,,,,,,,,,,,,,,,,,
2020_75,Lisboa,,129,,139,,91.0,,,150.0,,,,,139.0,,,,,,,,,,,
2020_76,Outro,,128,,160,,,,,146.0,152.0,,,,,140.0,,,,,,,,,,
2020_77,Porto,,111,,147,,,,,148.0,126.0,,,,,149.0,,,,,,,,,,
2020_78,Lisboa,,100,,115,86.0,,116.0,,,,,,,,,,,,,,,,,,
2020_79,Setúbal,,129,,162,,,,,157.0,169.0,,,,,156.0,,,,,,,,,,
2020_80,Porto,,147,,193,,,,,187.0,180.0,,,,,174.0,,,,,,,,,,
2020_81,Lisboa,,100,,100,,59.0,,,92.0,,,,,90.0,,,,,,,,,,,
2020_82,Outro,,151,,167,180.0,116.0,,,,,,,,,,,,,,,,,,,
2020_83,Braga,,161,,189,,,,172.0,196.0,,,,,180.0,,,,,,,,,,,
2020_84,Lisboa,,160,,193,,,,,195.0,179.0,,,,,178.0,,,,,,,,,,
2020_85,Porto,,161,,183,,158.0,,,192.0,,,,,167.0,,,,,,,,,,,
2020_86,Outro,,131,,150,157.0,,,,,,,135.0,,,,,,,,,,,,,
2020_87,Porto,,129,,149,156.0,,,135.0,,,,,,,,,,,,,,,,,
2020_88,Lisboa,137.0,116,,127,,,,,,,96.0,,,,,,,,,,,,,,
2020_89,Outro,,125,,151,148.0,,,142.0,,,,,,,,,,,,,,,,,
2020_90,Lisboa,,99,,104,,60.0,,,97.0,,,,,82.0,,,,,,,,,,,
2020_91,Outro,,165,,185,176.0,,,181.0,,,,,,,,,,,,,,,,,
2020_92,Outro,,142,,191,185.0,,188.0,,,,,,,,,,,,,,,,,,
2020_93,Outro,,107,,121,137.0,88.0,,,,,,,,,,,,,,,,,,,
2020_94,Outro,,162,,196,,158.0,,,188.0,,,,,181.0,,,,,,,,,,,
2020_95,Lisboa,184.0,166,,192,,,,,,,185.0,,,,,,,,,,,,,,
2020_96,Setúbal,,137,,169,,,,,169.0,167.0,,,,,169.0,,,,,,,,,,
2020_97,Outro,137.0,110,130.0,141,,,,,,,,,,,,,,,,,,,,,
2020_98,Setúbal,,155,,192,175.0,,190.0,,,,,,,,,,,,,,,,,,
2020_99,Lisboa,,136,,169,,,,,175.0,156.0,165.0,,,,,,,,,,,,,,
2020_100,Braga,,155,,181,179.0,,,184.0,,,,,,,,,,,,,,,,,
2020_101,Setúbal,150.0,126,150.0,152,,,,,,,,,,,,,,,,,,,,,
2020_102,Coimbra,,155,,188,175.0,,,181.0,,,,,,,,,,,,,,,,,
2020_103,Lisboa,,135,,187,,,,,189.0,168.0,,,,,175.0,,,,,,,,,,
2020_104,Porto,,162,,189,,,,,176.0,175.0,,,,,182.0,,,,,,,,,,
2020_105,Lisboa,,197,,200,,,,,192.0,190.0,,,,,200.0,,,,,,,,,,
2020_106,Setúbal,,197,,197,,163.0,,,200.0,,,,,186.0,,,,,,,,,,,
2020_107,Lisboa,,117,,143,,,,,137.0,162.0,109.0,,,,,,,,,,,,,,
2020_108,Outro,,169,,193,187.0,,,171.0,,,,,,,,,,,,,,,,,
2020_109,Porto,,136,,177,160.0,,183.0,,,,,,,,,,,,,,,,,,
2020_110,Porto,,131,,173,,,,,159.0,165.0,,,,,164.0,,,,,,,,,,
2020_111,Outro,,121,,141,,,,,126.0,123.0,,,,,130.0,,,,,,,,,,
2020_112,Braga,,152,,194,,,,,197.0,179.0,200.0,,,,,,,,,,,,,,
2020_113,Lisboa,,136,,155,,126.0,,,155.0,,,,,137.0,,,,,,,,,,,
2020_114,Lisboa,,110,,121,,,,,95.0,100.0,,,,,123.0,,,,,,,,,,
2020_115,Coimbra,,122,,136,,,,,109.0,113.0,,,,,149.0,,,,,,,,,,
2020_116,Porto,,157,,200,,,,,200.0,186.0,,,,,185.0,,,,,,,,,,
2020_117,Setúbal,,115,,138,,,,,122.0,138.0,,109.0,,,135.0,,,,,,,,,,
2020_118,Outro,,157,,193,,,,,197.0,191.0,,,,,188.0,,,,,,,,,,
2020_119,Porto,,121,,155,,,,,145.0,143.0,,,,,160.0,,,,,,,,,,
2020_120,Porto,,155,,181,177.0,,186.0,,,,,,,,,,,,,,,,,,
2020_121,Outro,,176,,200,186.0,,197.0,,,,,,,,,,,,,,,,,,
2020_122,Braga,,125,,160,143.0,,156.0,,,,,,,,,,,,,,,,,,
2020_123,Outro,148.0,128,152.0,153,,,,,,,,,,,,,,,,,,,,,
2020_124,Lisboa,,129,,144,156.0,,,,,,,116.0,,,,,,,,,,,,,
2020_125,Lisboa,182.0,148,177.0,186,,,,,,,,,,,,,,,,,,,,,
2020_126,Leiria,,165,,200,,,,,195.0,200.0,,,,,196.0,,,,,,,,,,
2020_127,Lisboa,,149,,169,,,,,165.0,172.0,,,,,167.0,,,,,,,,,,
2020_128,Braga,178.0,155,,187,,,,,,,198.0,,,,,,,,,,,,,,
2020_129,Leiria,,151,,157,169.0,124.0,,,,,,,,,,,,,,,,,,,
2020_130,Braga,,165,,200,196.0,,,200.0,,,,,,,,,,,,,,,,,
2020_131,Setúbal,,169,,196,,,,,188.0,183.0,,,,,173.0,,,,,,,,,,
2020_132,Outro,,90,,101,,,,,65.0,78.0,,,,,93.0,,,,,,,,,,
2020_133,Lisboa,,129,,165,,,,,170.0,154.0,141.0,,,,,,,,,,,,,,
2020_134,Lisboa,,159,,181,,138.0,,,180.0,,,,,181.0,,,,,,,,,,,
2020_135,Braga,,197,,199,,,,,195.0,182.0,196.0,,,,,,,,,,,,,,
2020_136,Faro,,130,,167,,,,,158.0,169.0,160.0,,,,,,150.0,,,,,,,,
2020_137,Lisboa,,161,,198,200.0,,200.0,,,,,,,,,,,,,,,,,,
2020_138,Lisboa,,105,,121,123.0,,,110.0,,,,,,,,,,,,,,,,,
2020_139,Braga,,132,,152,165.0,95.0,,,,,,,,,,,,,,,,,,,
2020_140,Porto,,169,,200,200.0,200.0,,,,,,,,,,,,,,,,,,,
2020_141,Leiria,,106,,136,,,,,106.0,120.0,,,,,136.0,,,,,,,,,,
2020_142,Outro,,163,,192,,,,179.0,200.0,,,,,193.0,,,,,,,,,,,
2020_143,Coimbra,,197,,200,,,,,200.0,190.0,,,,,186.0,,,,,,,,,,
2020_144,Lisboa,,142,,173,,,,,180.0,166.0,,,,,165.0,,,,,,,,,,
2020_145,Outro,,119,,141,149.0,,,135.0,,,,,,,,,,,,,,,,,
2020_146,Coimbra,,100,,111,,,,118.0,83.0,,,,,78.0,,,,,,,,,,,
2020_147,Lisboa,,147,,182,,,,,172.0,174.0,,,,,177.0,,,,,,,,,,
2020_148,Faro,,130,,164,,,,,165.0,152.0,,,,,160.0,,,,,,,,,,
2020_149,Porto,172.0,150,,186,,,,,,,196.0,,,,,,,,,,,,,,
2020_150,Setúbal,,117,,141,140.0,,142.0,,,,,,,,,,,,,,,,,,
2020_151,Outro,,95,,100,83.0,,,,,,,68.0,,,,,,,,,,,,,
2020_152,Setúbal,,156,,175,172.0,,,164.0,,,,,,,,,,,,,,,,,
2020_153,Outro,,150,,167,,145.0,,,171.0,,,,,159.0,,,,,,,,,,,
2020_154,Lisboa,162.0,141,,167,,,,,,,168.0,,,,,,,,,,,,,,
2020_155,Lisboa,,105,,121,,82.0,,,128.0,140.0,95.0,,,,,,,,,,,,,,
2020_156,Porto,,156,,190,,,,,197.0,178.0,,,,,175.0,,,,,,,,,,
2020_157,Outro,,125,,137,,,,,140.0,133.0,96.0,,,,,,,,,,,,,,
2020_158,Setúbal,,167,,199,,,,,200.0,200.0,,,,,181.0,,,,,,,,,,
2020_159,Outro,,147,,182,,168.0,,,188.0,,,,,170.0,,,,,,,,,,,
2020_160,Lisboa,,142,,172,,,,,168.0,157.0,,,,,164.0,,,,,,,,,,
2020_161,Porto,,105,,112,131.0,58.0,,,,,,,,,,,,,,,,,,,
2020_162,Lisboa,,197,,200,,,,,200.0,188.0,,,,,200.0,,,,,,,,,,
2020_163,Setúbal,,155,,181,165.0,,,176.0,,,,,,,,,,,,,,,,,
2020_164,Porto,,136,,164,,,,,157.0,162.0,,,,,154.0,,,,,,,,,,
2020_165,Porto,,158,,189,200.0,,,181.0,,,,,,,,,,,,,,,,,
2020_166,Lisboa,,115,,147,,,,,153.0,138.0,106.0,,,,,,,,,,,,,,
2020_167,Porto,,149,,185,180.0,,195.0,,,,,,,,,,,,,,,,,,
2020_168,Outro,,112,,125,,,,128.0,113.0,,,,,92.0,,,,,,,,,,,
2020_169,Lisboa,,135,,159,,,,,149.0,157.0,,,,,162.0,,,,,,,,,,
2020_170,Outro,,197,,200,,,,,200.0,197.0,,,,,200.0,,,,,,,,,,
2020_171,Setúbal,,112,,139,,,,,137.0,133.0,,,,,136.0,,,,,,,,,,
2020_172,Lisboa,,106,,132,,,,,138.0,117.0,,,,,146.0,,,,,,,,,,
2020_173,Lisboa,,121,,152,136.0,,163.0,,,,,,,,,,,,,,,,,,
2020_174,Porto,158.0,141,,156,,,,,,,135.0,,,,,,,,,,,,,,
2020_175,Lisboa,,125,,137,,,,128.0,127.0,,,,,120.0,,,,,,,,,,,
2020_176,Outro,,92,,102,,,,,80.0,92.0,,,,,110.0,,,,,,,,,,
2020_177,Outro,,139,,165,,,,,160.0,163.0,,,,,173.0,,,,,,,,,,
2020_178,Braga,143.0,104,136.0,139,,,,,,,,,,,,,,,,,,,,,
2020_179,Lisboa,,165,,200,,,,,200.0,189.0,,,,,192.0,,,,,,,,,,
2020_180,Lisboa,,145,,180,,,,176.0,173.0,,,,,175.0,,,,,,,,,,,
2020_181,Porto,185.0,197,196.0,200,,,,,,,,,,,,,,,,,,,,,
2020_182,Lisboa,,148,,197,190.0,,,188.0,,,,,,,,,,,,,,,,,
2020_183,Outro,,145,,179,,,,,185.0,189.0,,,,,168.0,,,,,,,,,,
2020_184,Outro,,135,,161,,,,,169.0,148.0,,,,,158.0,,,,,,,,,,
2020_185,Outro,,139,,172,165.0,,,160.0,,,,,,,,,,,,,,,,,
2020_186,Porto,,120,,155,,,,,145.0,155.0,116.0,,,,,,,,,,,,,,
2020_187,Porto,,146,,181,,,,,179.0,185.0,,,,,176.0,,,,,,,,,,
2020_188,Lisboa,,135,,147,,100.0,,,151.0,,,,,150.0,,,,,,,,,,,
2020_189,Lisboa,,100,,130,,,,111.0,128.0,,,,,110.0,,,,,,,,,,,
2020_190,Lisboa,,170,,194,,,,173.0,197.0,,,,,200.0,,,,,,,,,,,
2020_191,Lisboa,185.0,179,198.0,200,,,,,,,,,,,,,,,,,,,,,
2020_192,Coimbra,,151,,198,,,,,198.0,190.0,186.0,,,,,,,,,,,,,,
2020_193,Porto,,122,,151,,,,,148.0,134.0,,,,,146.0,,,,,,,,,,
2020_194,Braga,,155,,192,,,,,175.0,189.0,192.0,,,,,,,,,,,,,,
2020_195,Lisboa,,154,,191,,,,,179.0,179.0,,,,,177.0,,,,,,,,,,
2020_196,Faro,,150,,187,179.0,,198.0,,,,,,,,,,,,,,,,,,
2020_197,Setúbal,,158,,175,170.0,,,,,,,164.0,,,,,,,,,,,,,
2020_198,Lisboa,,126,,153,,,,,152.0,145.0,,,,,148.0,,,,,,,,,,
2020_199,Faro,,178,,200,,,,,200.0,193.0,,,,,189.0,,,,,,,,,,
2020_200,Outro,146.0,111,128.0,145,,,,,,,,,,,,,,,,,,,,,
2020_201,Setúbal,,109,,121,,,,,107.0,120.0,99.0,,,,,,,,,,,,,,
2020_202,Faro,,152,,168,173.0,147.0,,,,,,,,,,,,,,,,,,,
2020_203,Porto,178.0,145,156.0,171,,,,,,,,,,,,,,,,,,,,,
2020_204,Braga,,135,,163,167.0,,,160.0,,,,,,,,,,,,,,,,,
2020_205,Braga,,116,,152,,,,,152.0,141.0,,,,,144.0,,,,,,,,,,
2020_206,Leiria,,161,,200,,,,,195.0,190.0,,,,,188.0,,,,,,,,,,
2020_207,Leiria,,107,,138,,,,,135.0,115.0,,,,,138.0,,,,,,,,,,
2020_208,Outro,,111,,145,,,,,142.0,148.0,,,,,148.0,,,,,,,,,,
2020_209,Lisboa,,142,,170,179.0,129.0,,,,,,,,,,,,,,,,,,,
2020_210,Outro,,162,,189,,,,,182.0,184.0,,,,,166.0,,,,,,,,,,
2020_211,Lisboa,,161,,174,,131.0,,,191.0,,,,,177.0,,,,,,,,,,,
2020_212,Outro,,197,,200,,,,,192.0,200.0,199.0,,,,,,,,,,,,,,
2020_213,Coimbra,,152,,181,168.0,,178.0,,,,,,,,,,,,,,,,,,
2020_214,Setúbal,,157,,195,,,,,196.0,190.0,196.0,,,,,,,,,,,,,,
2020_215,Faro,,110,,142,,,,,129.0,141.0,,,,,137.0,,,,,,,,,,
2020_216,Setúbal,,138,,182,,,,,185.0,172.0,,,,,173.0,,,,,,,,,,
2020_217,Leiria,,116,,153,,,,,133.0,157.0,,,,,157.0,,,,,,,,,,
2020_218,Porto,,135,,165,,,,,169.0,150.0,,,,,160.0,,,,,,,,,,
2020_219,Braga,,197,,200,,,,,195.0,187.0,,,,,189.0,,,,,,,,,,
2020_220,Lisboa,,138,,173,,,,167.0,177.0,,,,,168.0,,,,,,,,,,,
2020_221,Braga,,156,,199,,,,,200.0,190.0,,,,,178.0,,,,,,,,,,
2020_222,Outro,,128,,159,,,,,159.0,141.0,,,,,145.0,,,,,,,,,,
2020_223,Lisboa,,128,,164,,,,,165.0,162.0,,,,,159.0,,,,,,,,,,
2020_224,Porto,,127,,165,169.0,,,156.0,,,,,,,,,,,,,,,,,
2020_225,Lisboa,,160,,192,200.0,,,,,,,158.0,,,,,,,,,,,,,
2020_226,Porto,,151,,185,,,,,192.0,175.0,,,,,168.0,,,,,,,,,,
2020_227,Outro,,125,,131,,78.0,,,123.0,,,,,111.0,,,,,,,,,,,
2020_228,Braga,,130,,172,,,,,153.0,158.0,,,,,164.0,,,,,,,,,,
2020_229,Outro,,119,,128,136.0,,,,,,,105.0,,,,,,,,,,,,,
2020_230,Lisboa,,142,,181,166.0,,188.0,,,,,,,,,,,,,,,,,,
2020_231,Porto,,139,,167,,,,,171.0,163.0,,,,,156.0,,,,,,,,,,
2020_232,Coimbra,,145,,165,159.0,,,160.0,,,,,,,,,,,,,,,,,
2020_233,Braga,,145,,154,156.0,121.0,,,,,,,,,,,,,,,,,,,
2020_234,Lisboa,,136,,156,167.0,,,,,,,130.0,,,,,,,,,,,,,
2020_235,Leiria,,105,,100,101.0,57.0,,,,,,,,,,,,,,,,,,,
2020_236,Porto,,139,,174,,,,161.0,179.0,,,,,145.0,,,,,,,,,,,
2020_237,Braga,160.0,128,,156,,,,,,,145.0,,,,,,,,,,,,,,
2020_238,Outro,,102,,136,,,,,136.0,138.0,,,,,122.0,,,,,,,,,,
2020_239,Lisboa,,197,,200,196.0,,200.0,,,,,,,,,,,,,,,,,,
2020_240,Faro,185.0,159,176.0,186,,,,,,,,,,,,,,,,,,,,,
2020_241,Leiria,,189,,200,,200.0,,,193.0,,,,,186.0,,,,,,,,,,,
2020_242,Lisboa,,121,,135,,,,,141.0,123.0,106.0,,,,,,,,,,,,,,
2020_243,Braga,,122,,142,153.0,105.0,,,,,,,,,,,,,,,,,,,
2020_244,Porto,,158,,192,,,,,189.0,179.0,,,,,181.0,,,,,,,,,,
2020_245,Outro,,178,,194,190.0,,,,,,,177.0,,,,,,,,,,,,,
2020_246,Porto,,150,,174,162.0,,,,,,,153.0,,,,,,,,,,,,,
2020_247,Porto,,150,,186,177.0,,188.0,,,,,,,,,,,,,,,,,,
2020_248,Outro,,142,,173,,,,169.0,187.0,,,,,161.0,,,,,,,,,,,
2020_249,Porto,,197,,193,189.0,,,,,,,166.0,,,,,,,,,,,,,
2020_250,Lisboa,,127,,162,,,,,147.0,150.0,,,,,151.0,,,,,,,,,,
2020_251,Lisboa,,104,,136,,,,,115.0,126.0,,,,,124.0,,,,,,,,,,
2020_252,Outro,,154,,190,180.0,,,,,,,147.0,,,180.0,,,,,,,,,,
2020_253,Porto,,178,,200,,,,,200.0,195.0,,,,,179.0,,,,,,,,,,
2020_254,Coimbra,,135,,180,160.0,,169.0,,,,,,,,,,,,,,,,,,
2020_255,Porto,,77,,100,63.0,39.0,,,,,,,,,,,,,,,,,,,
2020_256,Porto,,135,,167,,,,,175.0,159.0,,,,,158.0,,,,,,,,,,
2020_257,Setúbal,,175,,200,,,,,188.0,193.0,195.0,,,,,,,,,,,,,,
2020_258,Outro,,159,,189,,,,,199.0,192.0,,,,,182.0,,,,,,,,,,
2020_259,Porto,,117,,161,,,,,155.0,153.0,,,,,152.0,,,,,,,,,,
2020_260,Outro,193.0,178,181.0,198,,,,,,,,,,,,,,,,,,,,,
2020_261,Setúbal,,145,,174,,,,,167.0,164.0,,,,,172.0,,,,,,,,,,
2020_262,Lisboa,,147,,186,,,,178.0,198.0,,,,,186.0,,,,,,,,,,,
2020_263,Lisboa,,146,,175,,,,,178.0,166.0,165.0,,,,,,,,,,,,,,
2020_264,Outro,,135,,163,,119.0,,,175.0,,,,,160.0,,,,,,,,,,,
2020_265,Coimbra,,138,,168,,132.0,,,179.0,,,,,159.0,,,,,,,,,,,
2020_266,Lisboa,,151,,196,,168.0,,,198.0,,,,,195.0,,,,,,,,,,,
2020_267,Lisboa,,129,,151,159.0,,,,,,,120.0,,,,,,,,,,,,,
2020_268,Outro,154.0,119,,141,,,,,,,122.0,,,,,,,,,,,,,,
2020_269,Lisboa,,142,,161,,,,,160.0,172.0,,,,,156.0,,,,,,,,,,
2020_270,Outro,,135,,160,148.0,,,142.0,,,,,,,,,,,,,,,,,
2020_271,Porto,,102,,101,,,,,79.0,82.0,,,,,96.0,,,,,,,,,,
2020_272,Leiria,,151,,171,181.0,,,,,,,137.0,,,,,,,,,,,,,
2020_273,Porto,,161,,195,,,,,189.0,196.0,,,,,179.0,,,,,,,,,,
2020_274,Porto,,147,,172,,,,,183.0,170.0,150.0,,,,,,,,,,,,,,
2020_275,Leiria,,109,,118,,,,112.0,109.0,,,,,112.0,,,,,,,,,,,
2020_276,Outro,,135,,165,161.0,,,156.0,,,,,,,,,,,,,,,,,
2020_277,Lisboa,,155,,191,,,,,200.0,183.0,,,,,176.0,,,,,,,,,,
2020_278,Lisboa,,125,,157,157.0,,161.0,,,,,,,,,,,,,,,,,,
2020_279,Outro,,145,,179,181.0,,,181.0,,,,,,,,,,,,,,,,,
2020_280,Setúbal,,111,,109,,73.0,,,92.0,,,,,102.0,,,,,,,,,,,
2020_281,Lisboa,134.0,118,,126,,,,,,,101.0,,,,,,,,,,,,,,
2020_282,Faro,169.0,140,,166,,,,,,,139.0,,,,,,,,,,,,,,
2020_283,Porto,,146,,168,176.0,,,,,,,141.0,,,,,,,,,,,,,
2020_284,Braga,,149,,169,173.0,161.0,,,,,,,,,,,,,,,,,,,
2020_285,Porto,,168,,200,,,,,200.0,200.0,192.0,,,,,,,,,,,,,,
2020_286,Coimbra,,127,,143,,,,,153.0,144.0,119.0,,,,,,,,,,,,,,
2020_287,Lisboa,,160,,189,185.0,,192.0,,,,,,,,,,,,,,,,,,
2020_288,Leiria,,132,,152,156.0,,,,,,,132.0,,,,,,,,,,,,,
2020_289,Lisboa,,157,,193,186.0,,,,,,,195.0,,,,,,,,,,,,,
2020_290,Outro,,159,,182,,,,,189.0,176.0,,,,,172.0,,,,,,,,,,
2020_291,Braga,,197,,200,,,,,197.0,200.0,,,,,182.0,,,,,,,,,,
2020_292,Lisboa,,121,,141,160.0,102.0,,,,,,,,,,,,,,,,,,,
2020_293,Outro,,127,,170,,,,,174.0,172.0,159.0,,,,,,,,,,,,,,
2020_294,Faro,,122,,135,153.0,99.0,,,,,,,,,,,,,,,,,,,
2020_295,Setúbal,,197,,200,,,,,200.0,200.0,199.0,,,,,,,,,,,,,,
2020_296,Porto,,150,,190,,,,,192.0,178.0,195.0,,,,,,,,,,,,,,
2020_297,Porto,,112,,137,116.0,,143.0,,,,,,,,,,,,,,,,,,
2020_298,Porto,,105,,118,,72.0,,,131.0,,,,,100.0,,,,,,,,,,,
2020_299,Lisboa,,179,,199,,,,,195.0,200.0,,,,,182.0,,,,,,,,,,
2020_300,Lisboa,,153,,198,,,,,195.0,192.0,,,,,176.0,,,200.0,,,,,,,
2020_301,Coimbra,,155,,193,195.0,,191.0,,,,,,,,,,,,,,,,,,
2020_302,Coimbra,,137,,164,179.0,,,,,,,141.0,,,,,,,,,,,,,
2020_303,Outro,,175,,195,,,,181.0,198.0,,,,,188.0,,,,,,,,,,,
