Aluno_ID,Distrito,Matematica_A,Biologia_Geologia,Fisica_Quimica_A,Portugues,Nota_Interna,Economia_A,Geografia_A,Geometria_Descritiva_A,Desenho_A,HCA,Historia_A,MACS,Ingles,Literatura_Portuguesa,Latim_A,Historia_B,Alemao,Filosofia,Portugues_L2,Portugues_LNM,Matematica_B,Frances,Espanhol_Iniciacao
2019_96,Porto,107.0,96.0,107.0,115,117,,,,,,,,,,,,,,,,,,
2019_97,Outro,,,,156,160,,,,,,156.0,,,146.0,,,,,,,,,
2019_98,Lisboa,,,,116,123,,111.0,,,,99.0,,,,,,,,,,,,
2019_99,Outro,,,,150,164,,,,160.0,151.0,,,,,,,,,,,,,
2019_100,Outro,,,,155,156,,,,,,146.0,,,128.0,,,,,,,,,
2019_101,Lisboa,121.0,116.0,92.0,129,128,,,,,,,,,,,,,,,,,,
2019_102,Porto,,,,96,117,,,,127.0,88.0,,,,,,,,,,,,,
2019_103,Lisboa,125.0,122.0,129.0,126,145,,,,,,,,,,,,,,,,,,
2019_104,Lisboa,,,,101,113,,,,,,99.0,89.0,,,,,,,,,,,
2019_105,Lisboa,,,,135,132,,110.0,,,,115.0,,,,,,,,,,,,
2019_106,Outro,82.0,95.0,93.0,115,108,,,,,,,,,,,,,,,,,,
2019_107,Lisboa,,,,96,100,,,65.0,,,71.0,,,85.0,,,,,,,,,
2019_108,Lisboa,138.0,116.0,138.0,145,148,,,,,,,,,,,,,,,,,,
2019_109,Outro,181.0,181.0,166.0,193,189,,,,,,,,,,,,,,,,,,
2019_110,Lisboa,127.0,105.0,106.0,115,138,,,,,,,,,,,,,,,,,,
2019_111,Lisboa,128.0,125.0,135.0,122,140,,,,,,,,,,,,,,,,,,
2019_112,Lisboa,121.0,125.0,110.0,137,130,,,,,,,,,,,,,,,,,,
2019_113,Setúbal,150.0,110.0,112.0,125,139,,,,,,,,,,,,,,,,,,
2019_114,Porto,135.0,118.0,129.0,131,143,,,,,,,,,,,,,,,,,,
2019_115,Leiria,65.0,70.0,79.0,100,100,,,,,,,,,,,,,,,,,,
2019_116,Outro,,,,115,139,,,,136.0,117.0,,,,,,,,,,,,,
2019_117,Coimbra,116.0,107.0,117.0,131,128,,,,,,,,,,,,,,,,,,
2019_118,Braga,,,,139,135,,,,,,123.0,,,119.0,,,,,,,,,
2019_119,Outro,,,,193,190,,,,,,146.0,,197.0,,,,,,,,,,
2019_120,Lisboa,102.0,100.0,108.0,125,122,,,,,,,,,,,,,,,,,,
2019_121,Outro,180.0,,,138,177,168.0,150.0,,,,,,,,,,,,,,,,
2019_122,Outro,,,,161,196,,,,185.0,200.0,,,,,,176.0,,,,,,,
2019_123,Setúbal,,,,125,123,,,,,,100.0,110.0,,,,,,,,,,,
2019_124,Porto,,,,139,152,,,,162.0,129.0,,,,,,,,,,,,,
2019_125,Coimbra,,,,138,147,,,,,,127.0,,154.0,,,,,,,,,,
2019_126,Porto,127.0,,119.0,140,152,,,166.0,,,,,,,,,,,,,,,
2019_127,Lisboa,105.0,102.0,88.0,105,108,,,,,,,,,,,,,,,,,,
2019_128,Lisboa,,112.0,,127,128,,,,,,122.0,108.0,,,,,,,,,,,
2019_129,Braga,,,,150,178,,136.0,,,,196.0,,,,,,,,,,,,
2019_130,Porto,199.0,148.0,199.0,193,195,,,,,,,,,,,,,,,,,,
2019_131,Coimbra,185.0,175.0,199.0,193,196,,,,,,,,,,,,,,,,,,
2019_132,Lisboa,71.0,77.0,68.0,88,100,,,,,,,,,,,,,,,,,,
2019_133,Outro,,,,115,145,,,,140.0,127.0,,,,,,,,,,,,,
2019_134,Porto,,,,101,115,,,,,,88.0,93.0,,,,,,,,,,,
2019_135,Porto,91.0,,,88,105,90.0,96.0,,,,,,,,,,,,,,,,
2019_136,Braga,,,,127,139,,,,,,131.0,137.0,,,,,,,,,,,
2019_137,Porto,59.0,,51.0,77,100,,,38.0,,,,,,,,,,,,,,,
2019_138,Coimbra,131.0,,,137,155,145.0,,,,,,128.0,,,,,,,,,,,
2019_139,Outro,86.0,,80.0,106,123,,,140.0,,,,,,,,,,,,,,,
2019_140,Coimbra,175.0,126.0,,165,170,155.0,146.0,,,,,,,,,,,,,,,,
2019_141,Lisboa,130.0,124.0,147.0,127,138,,,,,,,,,,,,,,,,,,
2019_142,Outro,99.0,98.0,101.0,109,121,,,,,,,,,,,,,,,,,,
2019_143,Porto,,140.0,,137,147,,122.0,,,,119.0,,,,,,,,,,,,
2019_144,Braga,,,,72,100,,79.0,,,,65.0,,,,,,,,,,,,
2019_145,Braga,,,,122,131,,,,,,115.0,,,121.0,,,,,,,,,
2019_146,Outro,,,,137,177,,,,,,157.0,,177.0,,,,,,,,,,
2019_147,Braga,115.0,111.0,106.0,135,134,,,,,,,,,,,,,,,,,,
2019_148,Lisboa,102.0,102.0,114.0,127,121,,,,,,,,,,,,,,,,,,
2019_149,Lisboa,159.0,147.0,129.0,146,160,,,,,,,,,,,,,,,,,,
2019_150,Lisboa,147.0,116.0,111.0,145,153,,,,,,,,,,,,,,,,,,
2019_151,Outro,150.0,118.0,120.0,135,147,,,,,,,,,,,,,,,,,,
2019_152,Lisboa,78.0,,,78,100,83.0,,,,,,73.0,,,,,,,,,,,
2019_153,Outro,,,,151,169,,,,162.0,155.0,,,,,,,,,,,,,
2019_154,Setúbal,115.0,103.0,105.0,112,122,,,,,,,,,,,,,,,,,,
2019_155,Lisboa,,,,145,157,,126.0,,,,145.0,,,,,,,,,,,,
2019_156,Braga,,,,138,155,,,,,,128.0,,160.0,,,,,,,,,,
2019_157,Porto,,,,119,127,,100.0,,,,97.0,,,,,,,,,,,,
2019_158,Porto,169.0,125.0,145.0,143,156,,,,,,,,,,,,,,,,,,
2019_159,Outro,,,,193,200,,,,200.0,180.0,,,,,,,,,,,,,
2019_160,Lisboa,167.0,141.0,189.0,145,170,,,,,,,,,,,,,,,,,,
2019_161,Faro,132.0,,,121,136,121.0,,,,,,120.0,,,,,,,,,,,
2019_162,Porto,183.0,,,138,166,147.0,,,,,,135.0,,,,,,,,,,,
2019_163,Lisboa,,,,105,117,,,,,,88.0,,138.0,,,,,,,,,,
2019_164,Setúbal,85.0,,,107,110,95.0,84.0,,,,,,,,,,,,,,,,
2019_165,Porto,,,,125,163,,,171.0,146.0,,,,,,,,,,,,,,
2019_166,Lisboa,119.0,,,125,133,126.0,,,,,,109.0,,,,,,,,,,,
2019_167,Braga,,,,152,164,,,,,,161.0,,,148.0,,,,,,,,,
2019_168,Outro,33.0,64.0,49.0,85,100,,,,,,,,,,,,,,,,,,
2019_169,Leiria,,,,139,149,,117.0,,,,136.0,,,,,,,,,,,,
2019_170,Braga,,,,175,190,,,,,,160.0,191.0,,,,,,,,,,,
2019_171,Lisboa,135.0,,135.0,127,144,,,175.0,,,,,,,,,,,,,,,
2019_172,Setúbal,,,,115,140,,,,,,102.0,,148.0,,,,,,,,,,
2019_173,Lisboa,106.0,,101.0,101,125,,,146.0,,,,,,,,,,,,,,,
2019_174,Porto,180.0,171.0,166.0,145,182,,,,,,,,,,,,,,,,,,
2019_175,Coimbra,,,,140,161,,,,,,135.0,,176.0,,,,,,,,,,
2019_176,Braga,29.0,,,80,100,66.0,68.0,,,,,,,,,,,,,,,,
2019_177,Outro,139.0,,,133,139,126.0,118.0,,,,,,,,,,,,,,,,
2019_178,Braga,148.0,116.0,135.0,140,155,,,,,,,,,,,,,,,,,,
2019_179,Setúbal,169.0,,,186,190,176.0,,,,,,162.0,,,,,,,,,,,
2019_180,Braga,140.0,148.0,146.0,135,153,,,,,,,,,,,,,,,,,,
2019_181,Outro,182.0,166.0,190.0,193,197,,,,,,,,,,,,,,,,,,
2019_182,Outro,176.0,139.0,148.0,156,168,,,,,,,,,,,,,,,,,,
2019_183,Setúbal,,,,147,181,,,190.0,174.0,,,,,,,,,,,,,,
2019_184,Faro,,,,180,200,,,,,,196.0,,190.0,,,,,,,,,,
2019_185,Lisboa,,,,110,117,,,,,,102.0,,,115.0,,,,,,,,,
2019_186,Lisboa,,,,120,148,,,,160.0,131.0,,,,,,,,,,,,,
2019_187,Outro,105.0,,,109,120,109.0,,,,,,88.0,,,,,,,,,,,
2019_188,Setúbal,178.0,131.0,164.0,137,166,,,,,,,,,,,,,,,,,,
2019_189,Lisboa,139.0,,,125,136,134.0,109.0,,,,,,,,,,,,,,,,
2019_190,Braga,,,,135,152,,,,,,116.0,,156.0,,,,,,,,,,
2019_191,Setúbal,72.0,,74.0,85,100,,,82.0,,,,,,,,,,,,,,,
2019_192,Lisboa,105.0,,103.0,105,124,,,150.0,,,,,,,,,,,,,,,
2019_193,Lisboa,166.0,135.0,145.0,142,161,,,,,,,,,,,,,,,,,,
2019_194,Braga,146.0,,,131,143,127.0,116.0,,,,,,,,,,,,,,,,
2019_195,Porto,143.0,126.0,130.0,135,150,,,,,,,,,,,,,,,,,,
2019_196,Leiria,103.0,,,118,124,116.0,100.0,,,,,,,,,,,,,,,,
2019_197,Lisboa,85.0,89.0,89.0,115,110,,,,,,,,,,,,,,,,,,
2019_198,Setúbal,150.0,,,130,151,128.0,130.0,,,,,,,,,,,,,,,,
2019_199,Setúbal,112.0,89.0,96.0,107,110,,,,,,,,,,,,,,106.0,,,,
2019_200,Coimbra,195.0,,,193,200,198.0,184.0,,,,,,,,,,,,,,,,
2019_201,Porto,,,,109,134,,,,,,106.0,,140.0,,,,,,,,,,
2019_202,Faro,,,,96,113,,,,127.0,78.0,,,,,,,,,,,,,
2019_203,Outro,145.0,122.0,115.0,127,142,,,,,,,,,,,,,,,,,,
2019_204,Porto,200.0,156.0,199.0,193,200,,,,,,,,,,,,,,,,,,
2019_205,Braga,115.0,100.0,86.0,108,123,,,128.0,,,,,,,,,,,,,,,
2019_206,Outro,,,,68,100,,,,,,71.0,55.0,,,,,,,,,,,
2019_207,Outro,75.0,,,91,100,95.0,,,,,,86.0,,,,,,,,,,,
2019_208,Setúbal,,,,98,124,105.0,,,,,95.0,,144.0,,,,,,,,,,
2019_209,Lisboa,,,,115,139,,,,,,110.0,,146.0,,,,,,,,,,
2019_210,Porto,128.0,97.0,120.0,110,128,,,,,,,,,,,,,,,,,,
2019_211,Lisboa,69.0,85.0,70.0,101,100,,,,,,,,,,,,,,,,,,
2019_212,Lisboa,,,,121,157,,,,,,137.0,,156.0,,,,,,,,,,
2019_213,Lisboa,76.0,89.0,75.0,105,114,,,,,,,,,,,,,,,152.0,,,
2019_214,Setúbal,137.0,,113.0,139,156,,,186.0,,,,,,,,,,,,,,,
2019_215,Lisboa,,,,159,186,,,,173.0,177.0,,,,,,,,,,,,,
2019_216,Setúbal,107.0,95.0,106.0,126,126,,,,,,,,,,,,,,,,,,
2019_217,Lisboa,95.0,87.0,73.0,95,100,,,,,,,,,,,,,,,,,,
2019_218,Outro,115.0,,,115,127,115.0,109.0,,,,,,,,,,,,,,,,
2019_219,Outro,,,,150,190,,,189.0,161.0,,,,,,,,,,,,,,
2019_220,Lisboa,128.0,102.0,113.0,117,122,,,,,,,,,,,,,,,,,,
2019_221,Lisboa,,,,140,162,,,,,,123.0,,165.0,,,,,,,,,,
2019_222,Outro,53.0,,,77,100,89.0,,,,,,79.0,,,,,,,,,,,
2019_223,Lisboa,130.0,,,137,138,125.0,,,,,,119.0,,,,,,,,,,,
2019_224,Leiria,,,,109,110,,92.0,,,,89.0,,,,,,,,,,,,
2019_225,Lisboa,187.0,149.0,198.0,155,188,,,,,,,,,,,,,,,,,,
2019_226,Setúbal,,,,193,192,,,,,,171.0,,187.0,,,,,,,,,,
2019_227,Outro,,,,146,168,,,,,,149.0,175.0,,,,,,,,,,,
2019_228,Lisboa,,,,146,183,,,,,,186.0,175.0,,,,,,,,,,,
2019_229,Lisboa,,,,129,145,,,,,,115.0,,153.0,,,,,,,,,,
2019_230,Lisboa,,,,85,100,,,,,,72.0,,,85.0,,,,,,,,,
2019_231,Lisboa,,,,90,101,,,,118.0,63.0,,,,,,,,,,,,,
2019_232,Outro,32.0,,21.0,37,100,,,28.0,,,,,,,,,,,,,,,
2019_233,Porto,,,,135,156,,,,150.0,121.0,,,,,,,,,,,,,
2019_234,Coimbra,167.0,189.0,199.0,193,200,,,,,,,,,,,,,,,,,,
2019_235,Leiria,141.0,106.0,132.0,118,136,,,,,,,,,,,,,,,,,,
2019_236,Outro,,,,108,125,,,,,,87.0,,132.0,,,,,,,,,,
2019_237,Faro,200.0,,175.0,193,200,,,198.0,,,,,,,,,,,,,,,
2019_238,Setúbal,195.0,,,160,182,158.0,,,,,,150.0,,,,,,,,,,,
2019_239,Lisboa,135.0,139.0,153.0,142,146,,,,,,,,,,,,,,,,,,
2019_240,Porto,129.0,,,118,143,142.0,116.0,,,,,,,,,,,,,,,,
2019_241,Coimbra,,,,168,198,,,192.0,181.0,,,,,,,,,,,,,,
2019_242,Lisboa,,,,150,152,,138.0,,,,139.0,,,,,,,,,,,,
2019_243,Leiria,83.0,,,95,100,85.0,88.0,,,,,,,,,,,,,,,,
2019_244,Coimbra,,,,152,174,,,,,,155.0,,178.0,,170.0,,,,,,,,
2019_245,Outro,158.0,111.0,142.0,129,149,,,,,,,,,,,,,,,,,,
2019_246,Outro,145.0,,,122,152,123.0,,,,,,126.0,,,,,,,,,,,
2019_247,Lisboa,,,,86,100,,72.0,,,,83.0,,,,,,,,,,,,
2019_248,Outro,119.0,123.0,118.0,139,136,,,,,,,,,,,,,,,,,,
2019_249,Lisboa,148.0,126.0,153.0,155,162,,,,,,,,168.0,,,,,,,,,,
2019_250,Porto,,,,140,145,,126.0,,,,121.0,,,,,,,,,,,,
2019_251,Faro,115.0,,108.0,118,131,,,135.0,,,,,,,,,,,,,,,
2019_252,Lisboa,162.0,169.0,149.0,165,170,,,,,,,,,,,,,,,,,,
2019_253,Lisboa,65.0,82.0,70.0,101,100,,,,,,,,,,,,,,,,,,
2019_254,Coimbra,,,,120,120,,,,,,106.0,101.0,,,,,,,,,,,
2019_255,Lisboa,200.0,,,193,200,198.0,166.0,,,,,,,,,,,,,,,,
2019_256,Faro,,,,193,200,,,,,,196.0,200.0,,,,,,,,,,,
2019_257,Porto,150.0,125.0,145.0,140,152,,,,,,,,,,,,,,,,,,
2019_258,Outro,169.0,,,146,157,135.0,,,,,,134.0,,,,,,,,,,,
2019_259,Lisboa,177.0,,,166,177,156.0,,,,,,143.0,,,,,,,,,,,
2019_260,Lisboa,120.0,,,116,127,119.0,,,,,,111.0,,,,,,,,,,,
2019_261,Outro,100.0,,105.0,102,129,,,152.0,,,,,,,,,,,,,116.0,,
2019_262,Lisboa,,,,140,157,,,,,,150.0,147.0,,,,,,,,,,,
2019_263,Outro,102.0,,109.0,115,133,,,152.0,,,,,,,,,,,,,,,
2019_264,Outro,,,,125,150,,,,,,113.0,,158.0,,,,,,,,,,
2019_265,Lisboa,,,,143,173,,,,160.0,160.0,,,,,,,,,,,,,
2019_266,Leiria,,,,95,100,,,,,,76.0,77.0,,,,,,,,,,,
2019_267,Outro,135.0,126.0,111.0,135,141,,,,,,,,,,,,,,,,,,
2019_268,Porto,139.0,,,155,161,151.0,,,,,,156.0,,,,,,,,,,,
2019_269,Porto,68.0,,60.0,89,100,,,64.0,,,,,,,,,,,,,,,
2019_270,Outro,,,,115,155,,,151.0,136.0,,,,,,,,,,,,,,
2019_271,Faro,,,,122,138,,,,150.0,119.0,,,,,,,,,,,,,
2019_272,Outro,,,,140,142,,,,,,127.0,,,126.0,,,,,,,,,
2019_273,Braga,,,,107,116,,,,,,99.0,111.0,,,,,,,,,,,
2019_274,Coimbra,141.0,,,135,155,140.0,,,,,,142.0,,,,,,,,,,,
2019_275,Lisboa,,,,153,159,,,,162.0,136.0,,,,,,,,,,,,,
2019_276,Outro,,,,135,152,,,,,,131.0,,,159.0,,,,,,,,,
2019_277,Outro,,,,100,115,,,83.0,118.0,,,,,,,,,,,,,,
2019_278,Lisboa,103.0,103.0,91.0,115,117,,,,,,,,,,,,,,,,,,
2019_279,Leiria,116.0,,,125,143,136.0,,,,,,106.0,,,,,,,,,,,
2019_280,Lisboa,139.0,119.0,159.0,132,151,,,,,,,,,,,,,,,,,,
2019_281,Porto,,,,105,123,,104.0,,,,112.0,,,,,,,,,,,,
2019_282,Lisboa,,,,167,179,155.0,,,,,166.0,,172.0,,,,,,,,,,
2019_283,Lisboa,166.0,,145.0,135,174,,,196.0,,,,,,,,,,,,,,,
2019_284,Braga,,,,169,182,,,,,,143.0,200.0,,,,,,,,,,,
2019_285,Porto,181.0,,167.0,166,192,,,189.0,,,,,,,,,,,,,,,
2019_286,Setúbal,,,,107,122,,,,,,101.0,105.0,,,,,,,,,,,
2019_287,Setúbal,,,,150,150,,,,,,145.0,,,125.0,,,,,,,,,
2019_288,Coimbra,,,,160,163,,137.0,,,,171.0,,,,,,,,,,,,
2019_289,Lisboa,,,,86,100,,,,,,76.0,,106.0,,,,,,,,,,
2019_290,Outro,115.0,113.0,131.0,127,139,,,,,,,,,,,,,,,,,,
2019_291,Lisboa,120.0,110.0,111.0,115,137,,,,,,,,155.0,,,,,,,,,,
2019_292,Setúbal,116.0,87.0,101.0,109,112,,,,,,,,,,,,,,,,,,
2019_293,Setúbal,95.0,75.0,86.0,105,107,,,,,,,,,,,,,,,,,,
2019_294,Lisboa,145.0,,145.0,156,173,,,193.0,,,,,,,,,,,,,,,
2019_295,Lisboa,,,,129,153,,,,,,146.0,,,125.0,,,,,,,,,
2019_296,Outro,120.0,,116.0,121,148,,,151.0,,,,,,,,,,,,,,,
2019_297,Lisboa,,,,95,109,,,,,,86.0,,,88.0,,,,,,,,,
2019_298,Lisboa,,,,140,154,,,,157.0,140.0,,,,,,,,,,,,,
2019_299,Outro,88.0,,,108,109,100.0,96.0,,,,,,,,,,,,,,,,
2019_300,Outro,132.0,108.0,97.0,120,130,,,,,,,,,,,,,,,,,,
2019_301,Leiria,176.0,,,185,186,165.0,,,,,,168.0,,,,,,,,,,,
2019_302,Leiria,200.0,162.0,199.0,191,198,,,,,,,,,,,,,,,,,,
2019_303,Porto,160.0,,123.0,140,166,,,194.0,,,,,,,,,,,,,,,
2019_304,Setúbal,70.0,,,105,106,102.0,,,,,,89.0,,,,,,,,,,,
2019_305,Lisboa,188.0,,,165,200,198.0,,,,,,200.0,,,,,,,,,,,
2019_306,Lisboa,68.0,88.0,65.0,98,100,,,,,,,,,,,,,,,,,,
2019_307,Porto,,,,97,101,,92.0,,,,85.0,,,,,,,,,,,,
2019_308,Porto,,,,80,100,,,,,,75.0,73.0,,,,,,,,,,,
2019_309,Lisboa,130.0,,,118,136,119.0,120.0,,,,,,,,,,,,,,,,
2019_310,Lisboa,,,,179,164,,131.0,,,,139.0,,,,,,,,,,,,
2019_311,Outro,,,,118,149,,,142.0,147.0,,,,,,,,,,,,,,
2019_312,Porto,,,,119,123,,,,,,97.0,95.0,,,,,,,,,,,
2019_313,Lisboa,26.0,44.0,27.0,65,100,,,,,,,,,,,,,,,,,,
2019_314,Braga,159.0,137.0,155.0,155,160,,,,,,,,,,,,,,,,,,
2019_315,Lisboa,149.0,120.0,146.0,151,152,,,,,,,,,,,,,,,,,,
2019_316,Coimbra,167.0,165.0,140.0,145,162,,,,,,,,,,,,,,,,,,
2019_317,Lisboa,,,,137,168,,,176.0,151.0,,,,,,,,,,,,,,
2019_318,Porto,78.0,85.0,77.0,106,100,,,,,,,,,,,,,,,,,,
