Aluno_ID,Distrito,Matematica_A,Biologia_Geologia,Fisica_Quimica_A,Portugues,Nota_Interna,Desenho_A,Geometria_Descritiva_A,Economia_A,MACS,Historia_A,Geografia_A,HCA,Literatura_Portuguesa,Portugues_L2,Ingles,Italiano_Iniciacao,Portugues_LNM,Mandarim_Iniciacao,Latim_A,Historia_B,Matematica_B,Espanhol_Iniciacao,Alemao,Espanhol_Continuacao,Frances,Filosofia
2023_195,Coimbra,151.0,163.0,157.0,147,174,,,,,,,,,,,,,,,,,,,,,
2023_196,Porto,,,,135,145,,,,,116.0,,,120.0,,,,,,,,,,,,,
2023_197,Faro,106.0,,,135,124,,,118.0,,,106.0,,,,,,,,,,,,,,,
2023_198,Faro,154.0,135.0,128.0,148,148,,,,,,,,,,,,,,,,,,,,,
2023_199,Porto,183.0,172.0,143.0,171,179,,,,,,,,,,,,,,,,,,,,,
2023_200,Outro,,,,130,134,,,,,119.0,105.0,,,,,,,,,,,,,,,
2023_201,Porto,116.0,,,139,144,,,125.0,121.0,,,,131.0,,,,,,,,,,,,,
2023_202,Outro,82.0,78.0,95.0,107,103,,,,,,,,,,,,,,,,,,,,,
2023_203,Outro,195.0,199.0,167.0,176,200,,,,,,,,,,,,,,,,,,,,,
2023_204,Porto,,,,198,200,,,,,167.0,192.0,,,,,,,,,,,,,,,
2023_205,Faro,,,,103,106,118.0,,,,,,77.0,,,,,,,,,,,,,,
2023_206,Porto,168.0,,155.0,167,170,,138.0,,,,,,,,,,,,,,,,,,,
2023_207,Braga,,,,198,198,,,,189.0,170.0,,,,,,,,,,,,,,,,
2023_208,Lisboa,,,,102,100,102.0,,,,,,63.0,,,,,,,,,,,,,,
2023_209,Porto,200.0,189.0,175.0,169,190,,,,,,,,,,,,,,,,,,,,,
2023_210,Setúbal,115.0,112.0,100.0,126,126,,,,,,,,,,,,,,,,,,,,,
2023_211,Outro,159.0,169.0,145.0,157,168,,,,,,,,,,,,,,,,,,,,,
2023_212,Outro,,,,147,158,,,,,156.0,131.0,,,,,,,,,,,,,,,
2023_213,Lisboa,167.0,,,146,174,,,158.0,158.0,,,,,,,,,,,,,,,,,
2023_214,Outro,147.0,,,128,142,,,127.0,129.0,,,,,,,,,,,,,,,,,
2023_215,Lisboa,,,102.0,122,129,,,,,108.0,105.0,,,,,,,,,,,,,,,
2023_216,Porto,122.0,,,135,148,,,137.0,,,124.0,,,,,,,,,,,,,,,
2023_217,Leiria,178.0,159.0,141.0,166,173,,,,,,,,,,,,,,,,,,,,,
2023_218,Braga,,,,158,179,,,,,155.0,,,,,180.0,,,,,,,,,,,
2023_219,Outro,121.0,131.0,118.0,141,139,,,,,,,,,,,,,,,,,,,,,
2023_220,Outro,152.0,157.0,151.0,140,163,,,,,,,,,,,,,,,,,,,,,
2023_221,Lisboa,131.0,,,142,138,,,146.0,132.0,,115.0,,,,,,,,,,,,,,,
2023_222,Braga,147.0,,129.0,148,155,,120.0,,,,,,,,,,,,,,,,,,,
2023_223,Lisboa,165.0,149.0,152.0,147,166,,,,,,,,,,,,,,,,,,,,,
2023_224,Outro,182.0,,,177,190,,,181.0,,,166.0,,,,,,,,,,,,,,,
2023_225,Outro,165.0,,,162,173,,,168.0,,,136.0,,,,,,,,,,,,,,,
2023_226,Coimbra,91.0,92.0,111.0,124,114,,,,,,,,,,,,,,,,,,,,,
2023_227,Coimbra,90.0,106.0,106.0,115,117,,,,,,,,,,,,,,,,,,,,,
2023_228,Leiria,200.0,199.0,199.0,198,200,,,,,,,,,,,,,,,,,,,,,
2023_229,Lisboa,,,,166,176,,,,,146.0,,,,,176.0,,,,,,,,,,,
2023_230,Porto,,,,160,171,,,,,143.0,,,166.0,,,,,,,,,,,,,
2023_231,Lisboa,156.0,,151.0,159,170,,157.0,,,,,,,,,,,,,,,,,,,
2023_232,Outro,79.0,81.0,98.0,101,101,,,,,,,,,,,,,,,,,,,,,
2023_233,Braga,,,,110,118,,,,,102.0,91.0,,,,,,,,,,,,,,,
2023_234,Porto,185.0,,,171,191,,,175.0,,,168.0,,,,,,,,,,,,,,,
2023_235,Braga,43.0,,78.0,110,100,,36.0,,,,,,,,,,,,,,,,,,,
2023_236,Braga,141.0,120.0,131.0,139,146,,,,,,,,,,,,,,,,,,,,,
2023_237,Coimbra,148.0,135.0,127.0,138,155,,,,,,,,,,,,,,,,,,,,,
2023_238,Coimbra,,,,135,142,,,124.0,,126.0,,,117.0,,,,,,,,,,,,,
2023_239,Braga,180.0,199.0,170.0,198,200,,,,,,,,,,,,,,,,,,,,,
2023_240,Outro,,,,140,147,140.0,99.0,,,,,,,,,,,,,,,,,,,
2023_241,Coimbra,,,,115,151,132.0,87.0,,,,,,,,,,,190.0,,,,,,,,
2023_242,Faro,,,,128,132,,,,,107.0,111.0,,,,148.0,,,,,,,,,,,
2023_243,Braga,,,,145,152,,,,135.0,140.0,,,,,,,,,,,,,,,,
2023_244,Outro,128.0,,,139,149,,,136.0,,,118.0,,,,,,,,,,,,,,,
2023_245,Lisboa,170.0,153.0,149.0,170,170,,,,,,,,,,,,,,,,,,,,,
2023_246,Braga,155.0,,136.0,157,166,,146.0,,,,,,,,,,,,,,,,,,,
2023_247,Lisboa,,,,143,152,,,,155.0,131.0,,,,,,,,,,,,,,,,
2023_248,Outro,83.0,,106.0,118,106,,63.0,,,,,,,,,,,,,,,,,,,
2023_249,Outro,163.0,149.0,144.0,156,168,,,,,,,,,,,,,,,,,,,,,
2023_250,Coimbra,,,,135,131,,,,115.0,122.0,,,,,,,,,,,,,,,,
2023_251,Coimbra,,,,175,182,,,,,146.0,,,169.0,,,,,,,,,,,,,
2023_252,Lisboa,,,,157,181,,,,,153.0,,,,,188.0,,,,,,,,,,,
2023_253,Outro,168.0,165.0,151.0,160,173,,,,,,,,,,,,,,,,,,,,,
2023_254,Lisboa,,,,126,135,147.0,,,,,,99.0,,,,,,,,,,,,,,
2023_255,Porto,,,,120,124,,,,107.0,98.0,,,,,,,,,,,,,,,,
2023_256,Lisboa,173.0,166.0,156.0,175,186,,,,,,,,,,,,,,,,,,,,,
2023_257,Lisboa,,,,132,135,,,,,121.0,,,118.0,,,,,,,,,,,,,
2023_258,Outro,81.0,105.0,96.0,120,117,,,,,,,,,,,,,,,,,,,,,
2023_259,Porto,,,,111,123,134.0,69.0,,,,,,,,,,,,,,,,,,,
2023_260,Outro,,,,119,127,,,,,101.0,98.0,,,,,,,,,,,,,,,
2023_261,Setúbal,,,,149,163,,,,148.0,137.0,,,,,,,,,,,,,,,,
2023_262,Lisboa,,,,137,150,,,,136.0,125.0,,,,,,,,,,,,,,,,
2023_263,Lisboa,,,,198,200,,,,,183.0,,,200.0,,,,,,,,,,,,,
2023_264,Braga,42.0,66.0,88.0,108,100,,,,,,,,,,,,,,,,,,,,,
2023_265,Outro,182.0,,,176,185,,,159.0,178.0,,,,,,,,,,,,,,,,,
2023_266,Lisboa,179.0,142.0,140.0,146,159,,,,,,,,,,,,,,,,,,,,,
2023_267,Porto,148.0,129.0,135.0,155,154,,,,,,,,,,,,,,,,,,,,,
2023_268,Outro,125.0,,,137,144,,,129.0,,,115.0,,,,,,,,,,,,,,,
2023_269,Lisboa,166.0,,,140,159,,,147.0,139.0,,,,,,,,,,,,,,,,,
2023_270,Faro,,,,172,198,184.0,197.0,,,,,,,,,,,,,,,,,,,
2023_271,Outro,,,,156,179,163.0,169.0,,,,,,,,,,,,,,,,,,,
2023_272,Lisboa,172.0,,161.0,170,180,,187.0,,,,,,,,,,,,,,,,,,,
2023_273,Faro,131.0,,,140,134,,,139.0,,,111.0,,,116.0,,,,,,,,,,,,
2023_274,Lisboa,185.0,170.0,148.0,168,184,,,,,,,,,,,,,,,,,,,,,
2023_275,Outro,159.0,140.0,128.0,148,160,,,,,,,,,,,,,,,,,,,,,
2023_276,Lisboa,,,,133,146,140.0,108.0,,,,,,,,,,,,,,,,,,,
2023_277,Lisboa,191.0,167.0,162.0,169,186,,,,,,,,,,,,,,,,,,,,,
2023_278,Outro,191.0,,199.0,160,198,,198.0,,,,,,,,,,,,,,,,,,,
2023_279,Outro,119.0,125.0,121.0,130,143,,,,,,,,,,,,,,,,,,,,,
2023_280,Porto,,,,130,134,139.0,108.0,,,,,,,,,,,,,,,,,,,
2023_281,Outro,101.0,,,106,116,,,110.0,102.0,,,,,,,,,,,,,,,,,
2023_282,Lisboa,,,,143,149,151.0,117.0,,,,,,,,,,,,,,,,,,,
2023_283,Lisboa,128.0,125.0,135.0,148,148,,,,,,,,,,,,,,,,,,,,,
2023_284,Porto,145.0,147.0,130.0,146,158,,,,,,,,,,,,,,,,,,,,,
2023_285,Lisboa,,,,137,160,,,,,126.0,,,,,161.0,,,,167.0,,,,,,,
2023_286,Lisboa,171.0,,,162,177,,,153.0,160.0,,,,,,,,,,,,,,,,,
2023_287,Porto,185.0,,143.0,168,177,,162.0,,,,,,,,,,,,,,,,,,,
2023_288,Braga,,,,112,117,,,,,100.0,96.0,,,,,,,,,,,,,,,
2023_289,Lisboa,189.0,,,198,196,,,175.0,,,192.0,,,,,,,,,,,,,,,
2023_290,Braga,151.0,,,141,159,,,151.0,169.0,,,,,,,,,,,,,,,,,
2023_291,Porto,,,,136,140,,,,,126.0,118.0,,,,,,,,,,,,,,,
2023_292,Leiria,97.0,,119.0,121,122,,86.0,,,,,,,,,,,,,,,,,,,
2023_293,Porto,,,,126,125,,,,104.0,117.0,,,,,,,,,,,,,,,,
2023_294,Porto,185.0,,,185,191,,,183.0,178.0,,,,,,,,,,,,,,,,,
2023_295,Lisboa,,,,119,126,125.0,,,,,,79.0,,,,,,,,,,,,,,
