Aluno_ID,Distrito,Desenho_A,Portugues,Geometria_Descritiva_A,Nota_Interna,Matematica_A,Biologia_Geologia,Fisica_Quimica_A,Historia_A,Ingles,Economia_A,MACS,Literatura_Portuguesa,Geografia_A,HCA,Portugues_L2,Historia_B,Espanhol_Continuacao,Filosofia,Latim_A,Espanhol_Iniciacao,Frances,Alemao,Portugues_LNM,Mandarim_Iniciacao,Matematica_B
2021_30,Coimbra,,107,,125,,,,126.0,,,100.0,,,,,,,,,,,,,,
2021_31,Faro,169.0,165,,176,,,,,,,,,,150.0,,,,,,,,,,,
2021_32,Braga,,115,,104,72.0,100.0,71.0,,,,,,,,,,,,,,,,,,
2021_33,Outro,,120,,121,95.0,,,,,104.0,,,100.0,,,,,,,,,,,,
2021_34,Porto,,156,,162,,,,156.0,,,,128.0,,,,,,,,,,,,,
2021_35,Porto,,135,,146,146.0,138.0,116.0,,,,,,,,,,,,,,,,,,
2021_36,Outro,,185,200.0,200,200.0,,176.0,,,,,,,,,,,,,,,,,,
2021_37,Outro,,185,,200,200.0,195.0,200.0,,,,,,,,,,,,,,,,,,
2021_38,Braga,,132,,147,128.0,134.0,130.0,,,,,,,,,,,,,,,,,,
2021_39,Outro,,137,,156,,,,144.0,,,,122.0,,,,,,,,,,,,,
2021_40,Outro,,105,,112,98.0,108.0,68.0,,,,,,,,,,,,,,,,,,
2021_41,Outro,,165,,178,165.0,,,,,163.0,161.0,,,,,,,,,,,,,,
2021_42,Braga,,158,,171,163.0,162.0,157.0,,,,,,,,,,,,,,,,,,
2021_43,Braga,148.0,126,,148,,,,129.0,,,,120.0,,,,,,,,,,,,,
2021_44,Lisboa,,169,193.0,185,155.0,,141.0,,,,,,,,,,,,,,,,,,
2021_45,Setúbal,,127,,129,107.0,121.0,87.0,,,,,,,,,,,,,,,,,,
2021_46,Coimbra,,137,,141,121.0,120.0,114.0,,,,,,,,,,,,,,,,,,
2021_47,Outro,,167,,171,,,,162.0,,,,,141.0,,,,,,,,,,,,
2021_48,Porto,,185,,200,199.0,,,,,195.0,179.0,,,,,,,,,,,,,,
2021_49,Lisboa,,175,200.0,186,180.0,,145.0,,,,,,,,,,,,,,,,,,
2021_50,Lisboa,,121,,121,108.0,118.0,83.0,,,,,,,,,,,,,,,,,,
2021_51,Lisboa,,153,181.0,175,169.0,,152.0,,,,,,,,,,,,,,,,,,
2021_52,Porto,,138,,155,148.0,143.0,108.0,,,,,,,,,,,,,,,,,,
2021_53,Coimbra,,198,,189,,,,165.0,,,174.0,,,,,,,,,,,,,,
2021_54,Setúbal,,131,,145,,,,139.0,,,,,126.0,,,,,,,,,,,,
2021_55,Setúbal,,122,,138,125.0,136.0,108.0,,,,,,,,,,,,,,,,,,
2021_56,Lisboa,,130,,133,,,,124.0,,,,,110.0,,,,,,,,,,,,
2021_57,Porto,,149,,161,140.0,,,,,155.0,,,130.0,,,,,,,,,,,,
2021_58,Lisboa,,138,,151,,,,143.0,,,,,124.0,,,,,,,,,,,,
2021_59,Faro,,132,,166,,,,140.0,176.0,,,,,,,,,,,,,,,,
2021_60,Outro,,108,,106,85.0,106.0,76.0,,,,,,,,,,,,,,,,,,
2021_61,Porto,,122,,153,,,,136.0,168.0,,,,,,,,,,,,,,,,
2021_62,Lisboa,,148,,165,156.0,146.0,132.0,,,,,,,,,,,,,,,,,,
2021_63,Outro,,118,,126,,,,130.0,,,100.0,,,,,,,,,,,,,,
2021_64,Outro,,171,,196,,,,175.0,184.0,,,,,,,,,,,,,,,,
2021_65,Outro,183.0,180,198.0,196,,,,,,,,,,,,,,,,,,,,,
2021_66,Faro,,141,,154,,,,143.0,,,,,127.0,,,,,,,,,,,,
2021_67,Outro,,166,,167,163.0,162.0,136.0,,,,,,,,,,,,,,,,,,
2021_68,Porto,,127,,125,,,,137.0,,,95.0,,,,,,,,,,,,,,
2021_69,Leiria,,135,,153,,,,145.0,,,141.0,,,,,,,,,,,,,,
2021_70,Braga,,198,,200,,,,168.0,,,,193.0,,,,,,,,,,,,,
2021_71,Outro,,168,195.0,186,155.0,,160.0,,,,,,,,,,,,,,,,,,
2021_72,Porto,,97,,115,,,,120.0,,,82.0,,,,,,,,,,,,,,
2021_73,Braga,,145,,168,141.0,,,,,162.0,158.0,,,,,,,,,,,,,,
2021_74,Lisboa,164.0,159,180.0,181,,,,,,,,,,,,,,,,,,,,,
2021_75,Porto,,100,90.0,112,100.0,,87.0,,,,,,,,,,,,,,,,,,
2021_76,Outro,,146,,158,,,,152.0,,,,,121.0,,,,,,,,,,,,
2021_77,Porto,,167,,185,,,,170.0,,,,159.0,,,,,,,,,,,,,
2021_78,Lisboa,,126,150.0,129,98.0,,96.0,,,,,,,,,,,,,,,,,,
2021_79,Outro,,97,,100,65.0,,,,,85.0,82.0,,,,,,,,,,,,,,
2021_80,Porto,171.0,183,200.0,200,,,,,,,,,,,,,,,,,,,,,
2021_81,Leiria,,129,,163,149.0,,,,,146.0,124.0,,,,,,,,,,,,,,
2021_82,Lisboa,,29,,100,,,,78.0,,,35.0,,,,,,,,,,,,,,
2021_83,Coimbra,,105,,104,78.0,107.0,62.0,,,,,,,,,,,,,,,,,,
2021_84,Outro,,168,,200,200.0,,,,,200.0,188.0,,,,,,,,,,,,,,
2021_85,Lisboa,,151,,170,167.0,,,,,147.0,,,138.0,,,,,,,,,,,,
2021_86,Porto,,120,,132,126.0,127.0,90.0,,,,,,,,,,,,,,,,,,
2021_87,Lisboa,,88,51.0,100,47.0,,75.0,,,,,,,,,,,,,,,,,,
2021_88,Outro,,140,,167,171.0,145.0,150.0,,,,,,,,,,,,,,,,,,
2021_89,Porto,,146,,161,,,,151.0,,,146.0,,,,,,,,,,,,,,
2021_90,Outro,,120,,134,108.0,123.0,102.0,,,,,,,,,,,,,,,,,,
2021_91,Leiria,,135,,148,151.0,149.0,130.0,,,,,,,,,,,,,,,,,,
2021_92,Porto,,130,,142,114.0,,,,,125.0,130.0,,,,,,,,,,,,,,
2021_93,Lisboa,,166,,175,,,,162.0,,,165.0,,,,,,,,,,,,,,
2021_94,Lisboa,,138,,131,111.0,142.0,111.0,,,,,,,,,,,,,,,,,,
2021_95,Braga,,139,174.0,162,155.0,,116.0,,,,,,,,,,,,,,,,,,
2021_96,Faro,,157,,167,161.0,156.0,150.0,,,,,,,,,,,,,,,,,,
2021_97,Outro,,130,,131,115.0,114.0,108.0,,,,,,,,,,,,,,,,,,
2021_98,Braga,,145,194.0,176,159.0,,146.0,,,,,,,,,,,,,,,,,,
2021_99,Outro,,139,,141,115.0,137.0,100.0,,,,,,,,,,,,,,,,,,
2021_100,Outro,,198,,200,199.0,,,,,180.0,178.0,,,,,,,,,,,,,,
2021_101,Lisboa,,164,,171,,,,156.0,,,,166.0,,,,,,,,,,,,,
2021_102,Lisboa,,178,,186,175.0,170.0,190.0,,,,,,,,,,,,,,,,,,
2021_103,Porto,,127,,138,,,,141.0,,,,,116.0,,,,,,,,,,,,
2021_104,Outro,,126,,138,,,,131.0,,,,108.0,,,,,,,,,,,,,
2021_105,Porto,,198,200.0,200,200.0,,170.0,,,,,,,,,,,,,,,,,,
2021_106,Braga,140.0,125,,144,,,,,,,,,,132.0,,,,,,,,,,,
2021_107,Braga,179.0,160,,183,,,,,,,,,,176.0,,,,,,,,,,,
2021_108,Lisboa,,116,,124,100.0,131.0,110.0,,,,,,,,,,,,,,,,,,
2021_109,Lisboa,,167,,200,186.0,,,,,200.0,200.0,,,,,,,,,,,,,,
2021_110,Lisboa,,148,,163,,,,170.0,,,,139.0,,,,,,,,,,,,,
2021_111,Lisboa,148.0,130,,153,,,,,,,,,,148.0,,,,,,,,,,,
2021_112,Braga,,125,,132,120.0,134.0,97.0,,,,,,,,,,,,,,,,,,
2021_113,Outro,,146,179.0,176,169.0,,149.0,,,,,,,,,,,,,,,,,,
2021_114,Porto,,192,,200,192.0,,,,,200.0,,,186.0,,,,,,,,,,,,
2021_115,Porto,132.0,118,102.0,138,,,,,,,,,,,,,,,,,,,,,
2021_116,Braga,160.0,155,172.0,177,,,,,,,,,,,,,,,,,,,,,
2021_117,Outro,167.0,135,,159,,,,,,,,,,135.0,,,,,,,,,,,
2021_118,Lisboa,171.0,146,,164,,,,,,,,,,149.0,,,,,,,,,,,
2021_119,Outro,,173,,187,,,,171.0,,,,166.0,,,,,,,,,,,,,
2021_120,Porto,,130,,149,,,,145.0,,,135.0,,,,,,,,,,,,,,
2021_121,Setúbal,,145,,153,146.0,135.0,128.0,,,,,,,,,,,,,,,,,,
2021_122,Coimbra,,182,,179,,,,167.0,,,,,136.0,,,,,,,,,,,,
2021_123,Braga,,160,198.0,177,159.0,,138.0,,,,,,,,,,,,,,,,,,
2021_124,Porto,,145,,162,,,,148.0,,,,146.0,,,,,,,,,,,,,
2021_125,Lisboa,,158,,179,,,,157.0,,,200.0,,,,,,,,,,,,,,
2021_126,Setúbal,,104,,110,74.0,115.0,71.0,,,,,,,,,,,,,,,,,,
2021_127,Lisboa,,155,,169,167.0,155.0,145.0,,,,,,,,,,,,,,,,,,
2021_128,Lisboa,,140,,155,141.0,139.0,123.0,,,,,,,,,,,,,,,,,,
2021_129,Leiria,,127,,127,108.0,117.0,98.0,,,,,,,,,,,,,,,,,,
2021_130,Outro,183.0,156,200.0,191,,,,,,,,,,,,,,,,,,,,,
2021_131,Outro,,116,,135,,,,134.0,,,118.0,,,,,,,,,,,,,,
2021_132,Leiria,,162,,178,,,,171.0,,,,,150.0,,,,,,,,,,,,
2021_133,Faro,,179,,195,,,,157.0,198.0,,,,,,,,,,,,,,,,
2021_134,Outro,,168,200.0,200,200.0,,200.0,,,,,,,,,,,,,,,,,,
2021_135,Lisboa,,142,,145,,,,148.0,,,,,121.0,,,,,,,,,,,,
2021_136,Porto,,121,,128,107.0,122.0,105.0,,,,,,,,,,,,,,,,,,
2021_137,Outro,,170,,191,185.0,,,,,172.0,,,186.0,,,,,,,,,,,,
2021_138,Porto,,131,,150,,,,133.0,,,,120.0,,,,,,,,,,,,,
2021_139,Braga,,155,,162,155.0,157.0,116.0,,,,,,,,,,,,,,,,,,
2021_140,Lisboa,,147,,166,,,,137.0,167.0,,,,,,,,,,,,,,,,
2021_141,Lisboa,,126,,154,,,,136.0,171.0,,,,,,,,,,,,,,,,
2021_142,Outro,,161,,162,162.0,145.0,135.0,,,,,,,,,,,,,,,,,,
2021_143,Braga,,157,,167,,,,154.0,,,,,129.0,,,,,,,,,,,,
2021_144,Braga,175.0,148,,173,,,,,,,,,,153.0,,,,,,,,,,,
2021_145,Outro,,168,,180,,,,166.0,,,,,150.0,,,,,,,,,,,,
2021_146,Coimbra,,198,,194,180.0,165.0,153.0,,,,,,,,,,,,,,,,,,
2021_147,Braga,,106,95.0,104,81.0,,62.0,,,,,,,,,,,,,,,,,,
2021_148,Outro,,139,,145,,,,143.0,,,124.0,,,,,,,,,,,,,,
2021_149,Faro,,135,,159,,,,141.0,,,130.0,,,,,,,,,,,,,,
2021_150,Porto,,107,,137,,,,126.0,150.0,,,,,,,,,,,,,,,,
2021_151,Lisboa,,198,,200,,,,198.0,200.0,,,,,,,,,,,,,,,,
2021_152,Lisboa,,146,,167,175.0,,,,,152.0,,,130.0,,,,,,,,,,,,
2021_153,Lisboa,,122,,146,117.0,,,,,138.0,,,116.0,,,,,,,,,,,,
2021_154,Porto,141.0,135,150.0,159,,,,,,,,,,,,,,,,,,,,,
2021_155,Setúbal,,135,126.0,123,105.0,,96.0,,,,,,,,,,,,,,,,,,
2021_156,Outro,,119,,126,,,,127.0,,,,,98.0,,,,,,,,,,,,
2021_157,Lisboa,,152,,167,167.0,,,,,155.0,,,125.0,,,,,,,,,,,,
2021_158,Lisboa,,141,,158,152.0,153.0,138.0,,,,,,,,,,,,,,,,,,
2021_159,Lisboa,,127,,141,126.0,,,,,137.0,125.0,,,,,,,,,,,,,,
2021_160,Faro,132.0,120,108.0,138,,,,,,,,,,,,,,,,,,,,,
2021_161,Lisboa,,158,,159,,,,162.0,,,,137.0,,,,,,,,,,,,,
2021_162,Outro,,118,,126,126.0,119.0,90.0,,,,,,,,,,,,,,,,,,
2021_163,Porto,,146,,150,147.0,145.0,127.0,,,,,,,,,,,,,,,,,,
2021_164,Lisboa,,158,,191,195.0,,,,,165.0,192.0,,,,,,,,,,,,,,
2021_165,Lisboa,,129,,143,,,,145.0,,,,,126.0,,,,,,,,,,,,
2021_166,Outro,131.0,115,,137,,,,,,,,,,125.0,,,,,,,,,,,
2021_167,Lisboa,,161,,168,,,,148.0,,,143.0,,,,,,,,,,,,,,
2021_168,Porto,200.0,171,,193,,,,,,,,,,186.0,,,,,,,,,,,
2021_169,Lisboa,,138,,168,,,,142.0,176.0,,,,,,,,,,,,,,,,
2021_170,Leiria,,125,,155,,,,131.0,172.0,,,,,,,,,,,,,,,,
2021_171,Lisboa,,151,,165,,,,164.0,,,,,145.0,,,,,,,,,,,,
2021_172,Porto,,178,,186,,,,155.0,,,178.0,,,,,,,,,,,,,,
2021_173,Porto,,146,,164,162.0,,,,,145.0,,,137.0,,,,,,,,,,,,
2021_174,Lisboa,,138,,152,159.0,158.0,116.0,,,,,,,,,,,,,,,,,,
2021_175,Leiria,,117,,134,,,,130.0,,,,117.0,,,,,,,,,,,,,
2021_176,Lisboa,,145,,180,166.0,,,,,175.0,171.0,,,,,,,,,,,,,,
2021_177,Outro,192.0,165,200.0,200,,,,,,,,,,,,,,,,,,,,,
2021_178,Outro,,148,,161,,,,156.0,,,,,136.0,,,,,,,,,,,,
2021_179,Lisboa,,131,,148,131.0,149.0,125.0,,,,,,,,,,,,,,,,,,
2021_180,Outro,,145,182.0,159,149.0,,115.0,,,,,,,,,,,,,,,,,,
2021_181,Faro,,160,,200,,,,198.0,192.0,,,,,,,,,,,,,,,,
2021_182,Outro,,126,135.0,135,115.0,,103.0,,,,,,,,,,,,,,,,,,
2021_183,Coimbra,,130,,151,,,,146.0,,,,,116.0,,146.0,,,,,,,,,,
2021_184,Porto,,126,,128,108.0,135.0,92.0,,,,,,,,,,,,,,,,,,
2021_185,Lisboa,179.0,142,197.0,187,,,,,,,,,,,,,,,,,,,,,
2021_186,Outro,,88,,101,,,,110.0,,,,78.0,,,,,,,,,,,,,
2021_187,Lisboa,,160,181.0,181,171.0,,150.0,,,,,,,,,,,,,,,,,,
2021_188,Setúbal,,179,199.0,196,171.0,,158.0,,,,,,,,,,,,,,,,,,
2021_189,Porto,,139,,150,,,,141.0,,,,,121.0,,,,,,,,,,,,
2021_190,Braga,,138,,168,,,,145.0,183.0,,,,,,,,,,,,,,,,
2021_191,Outro,,130,,143,135.0,146.0,108.0,,,,,,,,,,,,,,,,,,
2021_192,Setúbal,,137,,143,,,,142.0,,,,,111.0,,,,,,,,,,,,
2021_193,Outro,,198,,194,,,,165.0,,,,,160.0,,,,,,,,,,,,
2021_194,Outro,145.0,125,,144,,,,,,,,,,129.0,,,,,,,,,,,
2021_195,Porto,,88,,100,86.0,91.0,60.0,,,,,,,,,,,,,,,,,,
2021_196,Outro,,165,,162,163.0,160.0,121.0,,,,,,,,,,,,,,,,,,
2021_197,Outro,,75,,100,20.0,62.0,34.0,,,,,,,,,,,,,,,,,,
2021_198,Outro,,168,,183,179.0,171.0,161.0,,,,,,,,,,,,,,,,,,
2021_199,Braga,160.0,138,,174,165.0,,,,,165.0,161.0,,,,,,,,,,,,,,
2021_200,Setúbal,,137,,152,120.0,,,,,141.0,145.0,,,,,,,,,,,,,,
2021_201,Porto,,188,,176,180.0,,,,,165.0,,,135.0,,,,,,,,,,,,
2021_202,Lisboa,,157,,180,180.0,,,,,174.0,157.0,,,,,,,,,,,,,,
2021_203,Leiria,,107,,116,,,,111.0,,,90.0,,,,,,,,,,,,,,
2021_204,Outro,,159,,184,175.0,,,,,165.0,172.0,,,,,,,,,,,,,,
2021_205,Lisboa,,162,,160,,,,160.0,,,,,135.0,,,,,,,,,,,,
2021_206,Outro,,130,,152,,,,131.0,157.0,,,,,,,,,,,,,,,,
2021_207,Braga,,149,,165,156.0,,,,,158.0,,,121.0,,,,,,,,,,,,
2021_208,Setúbal,,110,98.0,110,90.0,,95.0,,,,,,,,,,,,,,,,,,
2021_209,Setúbal,,111,,116,88.0,,,,,120.0,,,109.0,,,,,,,,,,,,
2021_210,Outro,,151,,174,155.0,152.0,146.0,,,,,,,,,,,,,,,,,,
2021_211,Outro,,145,,169,171.0,158.0,136.0,,,,,,,,,,,,,,,,,,
2021_212,Lisboa,,170,,169,155.0,155.0,149.0,,,,,,,,,,,,,,,,,,
2021_213,Outro,167.0,144,195.0,188,,,,,,,,,,,,,,,,,,,,,
2021_214,Porto,,146,,151,132.0,,,,,151.0,139.0,,,,,,,,,,,,,,
2021_215,Lisboa,138.0,117,,136,,,,,,,,,,119.0,,,,,,,,,,,
2021_216,Leiria,,198,,200,,,,178.0,,,,193.0,,,,,,,,,,,,,
2021_217,Porto,,166,,196,180.0,,,,,200.0,200.0,,,,,,,,,,,,,,
2021_218,Porto,,115,,111,66.0,112.0,72.0,,,,,,,,,,,,,,,,,,
2021_219,Coimbra,,146,,164,152.0,147.0,155.0,,,,,,,,,,,,,,,,,,
2021_220,Lisboa,,139,,161,,,,155.0,,,153.0,,,,,,,,,,,,,,
2021_221,Setúbal,,130,,153,,,,145.0,,,140.0,,,,,,,,,,,,,,
2021_222,Braga,,168,,184,197.0,162.0,152.0,,,,,,,,,,,,,,,,,,
2021_223,Outro,,155,198.0,186,192.0,,163.0,,,,,,,,,,,,,,,,,,
2021_224,Braga,,170,198.0,180,162.0,,146.0,,,,,,,,,,,,,,,,,,
2021_225,Leiria,,145,,171,,,,145.0,175.0,,,,,,,,,,,,,,,,
2021_226,Setúbal,,137,,137,117.0,124.0,99.0,,,,,,,,,,,,,,,,,,
2021_227,Lisboa,,198,,200,200.0,,,,,200.0,,,186.0,,,,,,,,,,,,
2021_228,Outro,,179,,194,190.0,179.0,158.0,,,,,,,,,,,,,,,,,,
2021_229,Setúbal,,83,,100,61.0,96.0,60.0,,,,,,,,,,,,,,,,,,
2021_230,Braga,,166,,162,,,,161.0,,,,,138.0,,,,,,,,,,,,
2021_231,Outro,,146,,146,130.0,,,,,151.0,,,119.0,,,,,,,,,,,,
2021_232,Coimbra,153.0,128,,146,,,,,,,,,,128.0,,,,,,,,,,,
2021_233,Lisboa,,140,,155,,,,150.0,,,,132.0,,,,,,,,,,,,,
2021_234,Porto,,128,,119,96.0,130.0,87.0,,,,,,,,,,,,,,,,,,
2021_235,Faro,,145,,165,158.0,,,,,147.0,149.0,,,,,,,,,,,,,,
2021_236,Braga,,102,,118,,,,123.0,,,,88.0,,,,,,,,,,,,,
2021_237,Lisboa,,172,,187,196.0,167.0,175.0,,,,,,,,,,,,,,,,,,
2021_238,Coimbra,,160,,166,,,,155.0,,,,,130.0,,,,,,,,,,,,
2021_239,Braga,,192,,200,,,,169.0,200.0,,,,,,,,,,,,,,,,
2021_240,Outro,,106,,105,75.0,112.0,79.0,,,,,,,,,,,,,,,,,,
2021_241,Leiria,,151,,158,148.0,,,,,177.0,155.0,,,,,141.0,,,,,,,,,
2021_242,Lisboa,,145,,173,,,,158.0,178.0,,,,,,,,,,,,,,,,
2021_243,Lisboa,,120,,141,,,,137.0,,,,,109.0,,,,,,,,,,,,
2021_244,Coimbra,,126,,124,82.0,,,,,121.0,,,100.0,,,,,,,,,,,,
2021_245,Porto,,125,,142,127.0,135.0,100.0,,,,,,,,,132.0,,,,,,,,,
2021_246,Lisboa,137.0,131,,134,,,,,,,,,,123.0,,,,,,,,,,,
2021_247,Lisboa,,135,,138,119.0,126.0,112.0,,,,,,,,,,,,,,,,,,
2021_248,Setúbal,,155,,178,175.0,165.0,140.0,,,,,,,,,,,,,,,,,,
2021_249,Setúbal,127.0,110,106.0,134,,,,,,,,,,,,,,,,,,,,,
2021_250,Outro,147.0,141,,153,,,,,,,,,,131.0,,,,,,,,,,,
2021_251,Lisboa,,161,,165,158.0,152.0,130.0,,,,,,,,,,,,,,,,,,
2021_252,Coimbra,,176,,200,200.0,176.0,200.0,,,,,,,,,,,,,,,,,,
2021_253,Lisboa,,160,,166,,,,151.0,,,,,147.0,,,,,,,,,,,,
2021_254,Leiria,,159,191.0,172,145.0,,141.0,,,,,,,,,,,,,,,,,,
2021_255,Braga,,141,,143,132.0,145.0,102.0,,,,,,,,,,,,,,,,,,
2021_256,Lisboa,54.0,79,19.0,100,,,,,,,,,,,,,,,,,,,,,
2021_257,Outro,159.0,143,,158,,,,,,,,,,138.0,,,,,,,,,,,
2021_258,Setúbal,,166,,174,155.0,163.0,133.0,,,,,,,,,,,,,,,,,,
2021_259,Outro,,140,,154,,,,157.0,,,,,122.0,,,,,,,,,,,,
2021_260,Porto,,161,,168,167.0,151.0,131.0,,,,,,,,,,,,,,,,,,
2021_261,Lisboa,,126,,142,137.0,,,,,128.0,,,115.0,,,,,,,,,,,,
2021_262,Lisboa,,107,,115,85.0,,,,,117.0,84.0,,,,,,,,,,,,,,
2021_263,Lisboa,,155,,167,,,,154.0,173.0,,,,,,,,,,,,,,,,
2021_264,Braga,,125,,152,,,,132.0,155.0,,,,,,,,,,,,,,,,
2021_265,Outro,,117,,117,105.0,126.0,95.0,,,,,,,,,,,,,,,,,,
2021_266,Outro,,132,,156,153.0,146.0,137.0,,,,,,,,,,,,,,,,,,
2021_267,Porto,,116,,128,97.0,129.0,86.0,,,,,,,,,,,,,,,,,,
2021_268,Braga,,140,185.0,172,155.0,,145.0,,,,,,,,,,,,,,,,,,
2021_269,Porto,,140,,174,,,,158.0,177.0,,,,,,,,,,,,,,,,
2021_270,Porto,,139,,168,,,,144.0,176.0,,,,,,,,,,,,,,,,
2021_271,Braga,,126,148.0,143,115.0,,106.0,,,,,,,,,,,,,,,,,,
2021_272,Lisboa,,142,,158,,,,148.0,,,,131.0,,,,,,,,,,,,,
2021_273,Porto,,156,190.0,173,172.0,160.0,140.0,,,,,,,,,,,,,,,,,,
2021_274,Braga,168.0,160,183.0,192,,,,,,,,,,,,,,,,,,,,,
2021_275,Outro,,128,180.0,153,136.0,,112.0,,,,,,,,,,,,,,,,,,
2021_276,Lisboa,,146,,160,156.0,149.0,133.0,,,,,,,,,,,,,,,,,,
2021_277,Coimbra,,117,,130,,,,125.0,,,,97.0,,,,,,,,,,,,,
2021_278,Outro,,149,,167,166.0,166.0,130.0,,,,,,,,,,,,,,,,,,
2021_279,Porto,,132,166.0,140,109.0,,111.0,,,,,,118.0,,,,,,,,,,,,
2021_280,Outro,,136,,148,139.0,151.0,112.0,,,,,,,,,,,,,,,,,,
2021_281,Setúbal,,91,,100,58.0,73.0,52.0,,,,,,,,,,,,,,,,,,
2021_282,Outro,,169,,193,174.0,167.0,198.0,,,,,,,,,,,,,,,,,,
2021_283,Porto,157.0,160,195.0,187,,,,,,,,,,,,,,,,,,,,,
2021_284,Lisboa,,126,,142,132.0,130.0,108.0,,,,,,,,,,,,,,,,,,
2021_285,Outro,,119,,141,,,,130.0,143.0,,,,,,,,,,,,,,,,
2021_286,Braga,,183,200.0,200,187.0,,200.0,,,,,,,,,,,,,,,,,,
2021_287,Outro,,145,,152,145.0,141.0,129.0,,,,,,,,,,,,,,,,,,
2021_288,Outro,,139,,156,137.0,,,,,139.0,146.0,,,,,,,,,,,,,,
2021_289,Coimbra,,147,,164,,,,146.0,,,,147.0,,,,,,,,,,,,,
2021_290,Lisboa,,128,,135,96.0,,,,,113.0,,,111.0,,,,,,,,,,,,
2021_291,Porto,,112,,143,,,,122.0,137.0,,,,,,,,,,,,,,,,
2021_292,Porto,,137,,152,150.0,155.0,116.0,,,,,,,,,,,,,,,,,,
2021_293,Outro,,155,,179,182.0,165.0,171.0,,,,,,,,,,,,,,,,,,
2021_294,Coimbra,,178,,180,159.0,161.0,166.0,,,,,,,,,,,,,,,,,,
2021_295,Lisboa,,138,,136,111.0,128.0,110.0,,,,,,,,,,,,,,,,,,
2021_296,Leiria,,125,,127,103.0,122.0,115.0,,,,,,,,,,,,,,,,,,
2021_297,Lisboa,170.0,159,196.0,185,,,,,,,,,,,,,,,,,,,,,
2021_298,Leiria,,145,,148,148.0,130.0,126.0,,,,,,,,,,,,,,,,,,
2021_299,Porto,,147,174.0,168,152.0,,139.0,,,,,,,,,,,,,,,,,,
2021_300,Setúbal,,120,,122,87.0,116.0,95.0,,,,,,,,,,,,,,,,,,
2021_301,Outro,,146,186.0,166,132.0,,128.0,,,,,,,,,,,,,,,,,,
2021_302,Lisboa,,105,,109,82.0,,,,,95.0,,,96.0,,,,,,,,,,,,
2021_303,Lisboa,,166,,173,157.0,163.0,158.0,,,,,,,,,,,,,,,,,,
2021_304,Setúbal,,100,111.0,117,95.0,,88.0,,,,,,,,,,,,,,,,,,
