Aluno_ID,Distrito,Historia_A,Portugues,Geografia_A,Nota_Interna,MACS,Matematica_A,Fisica_Quimica_A,Biologia_Geologia,Economia_A,Desenho_A,Geometria_Descritiva_A,Ingles,Literatura_Portuguesa,HCA,Italiano_Iniciacao,Frances,Historia_B,Portugues_L2,Latim_A,Espanhol_Continuacao,Matematica_B,Espanhol_Iniciacao,Alemao,Mandarim_Iniciacao,Filosofia,Portugues_LNM
2024_71,Outro,,168,,196,,,,,,187.0,,,,170.0,,,,,,,,,,,,
2024_72,Outro,167.0,160,,170,,,,,,,,,146.0,,,,,,,,,,,,,
2024_73,Lisboa,147.0,147,119.0,156,,,,,,,,,,,,173.0,,,,,,,,,,
2024_74,Lisboa,,135,,159,,178.0,145.0,131.0,,,,,142.0,,,,,,,,,,,,,
2024_75,Lisboa,,177,,183,,188.0,159.0,155.0,,,,,,,,,,,,,,,,,,
2024_76,Setúbal,110.0,100,,113,,,,,,,,,100.0,,,,,,,,,,,,,
2024_77,Setúbal,,121,,143,,141.0,125.0,,,,151.0,,,,,,,,,,,,,,,
2024_78,Faro,126.0,107,,135,,,,,,,,142.0,,,,,,,,,,,,,,
2024_79,Setúbal,,169,,183,161.0,185.0,,,170.0,,,,,,,,,,,,,,,,,
2024_80,Outro,138.0,140,,150,145.0,,,,,,,,,,,,,,,,,,,,,
2024_81,Coimbra,,122,,151,130.0,158.0,,,126.0,,,,,,,,,,,,,,,,,
2024_82,Outro,157.0,162,,169,143.0,,,,,,,,,,,,,,,,,,,,,
2024_83,Setúbal,,142,,173,,189.0,168.0,137.0,,,,,,,,,,,,,,,,,,
2024_84,Outro,157.0,132,,151,,,,,,,,,137.0,,,,,,,,,,,,,
2024_85,Lisboa,166.0,146,,170,142.0,,,,,,,,,,,,,,,,,,,,,
2024_86,Setúbal,,129,,146,,154.0,149.0,117.0,,,,,,,,,,,,,,,,,,
2024_87,Outro,,152,,187,,197.0,178.0,,,,176.0,,,,,,,,,,,,,,,
2024_88,Braga,101.0,78,,115,,,,,,,,112.0,,,,,,,,,,,,,,
2024_89,Lisboa,,110,,133,,147.0,118.0,97.0,,,,,,,,,,,,,,,,,,
2024_90,Lisboa,,121,,139,,145.0,138.0,117.0,,,,,,,,,,,,,,,,,,
2024_91,Setúbal,118.0,96,86.0,118,,,,,,,,,,,,,,,,,,,,,,
2024_92,Braga,,129,,147,,166.0,143.0,121.0,,,,,,,,,,,,,,,,,,
2024_93,Outro,,120,,151,,,,,,168.0,139.0,,,,,,,,,,,,,,,
2024_94,Porto,,99,,129,,122.0,105.0,,,,95.0,,,,,,,,,,,,,,,
2024_95,Outro,,153,188.0,197,,200.0,,,190.0,,,,,,,,,,,,,,,,,
2024_96,Outro,,105,,115,,110.0,105.0,,,,89.0,,,,,,,,,,,,,,,
2024_97,Faro,,137,,169,,172.0,170.0,146.0,,,,,,,,,,,,,,,,,,
2024_98,Porto,137.0,127,121.0,146,,,,,,,,,,,,,129.0,,,,,,,,,
2024_99,Faro,,131,,166,,186.0,159.0,140.0,,,,,,,,,,,,,,,,,,
2024_100,Faro,,147,,173,,164.0,155.0,,,,165.0,,,,,,,,,,,,,,,
2024_101,Lisboa,128.0,107,,136,123.0,,121.0,,,,,,,,,,,,,,,,,,,
2024_102,Outro,72.0,70,,100,,,,,,,,88.0,,,,,,,,,,,,,,
2024_103,Outro,121.0,101,,124,,,,,,,,,110.0,,,,,,,,,,,,,
2024_104,Setúbal,,120,,164,,166.0,145.0,,,,155.0,,,,,,,,,,,,,,,
2024_105,Lisboa,,135,,172,141.0,188.0,,,166.0,,,,,,,,,,,,,,,,,
2024_106,Lisboa,172.0,167,188.0,187,,,,,,,,,,,,,,,,,,,,,,
2024_107,Setúbal,,142,121.0,167,,168.0,,,169.0,,,,,,,,,,,,,,,,,
2024_108,Outro,,130,,166,,173.0,145.0,,,,157.0,,,,,,,,,,,,,,,
2024_109,Outro,,138,,167,,,,,,175.0,,,,150.0,,,,,,,,,,,,
2024_110,Lisboa,,129,,152,,159.0,140.0,122.0,,,,,,,,,,,,,,,,,,
2024_111,Lisboa,,117,,152,,161.0,150.0,,,,125.0,,,,,,,,,,,,,,,
2024_112,Porto,,158,188.0,200,,198.0,,,200.0,,,,,,,,,,,,,,,,,
2024_113,Lisboa,171.0,178,,189,,,,,,,,,169.0,,,,,,,,,,,,,
2024_114,Outro,161.0,178,,191,,,,,,,,184.0,,,,,,,,,,,,,,
2024_115,Porto,,107,113.0,136,,136.0,,,131.0,,,,,,,,,,,,,,,,,
2024_116,Porto,97.0,95,,102,95.0,,,,,,,,,,,,,,,,,,,,,
2024_117,Lisboa,108.0,96,,114,89.0,,,,,,,,,,,,,,,,,,,,,
2024_118,Porto,156.0,133,119.0,153,,,,,,,,,,,,,,,,,,,,,,
2024_119,Setúbal,,153,,164,142.0,175.0,,,165.0,,,,,,,,,,,,,,,,,
2024_120,Coimbra,200.0,155,157.0,184,,,,,,,,,,,,,,,,,,,,,,
2024_121,Lisboa,,130,,152,,151.0,147.0,123.0,,,,,,,,,,,,,,,,,,
2024_122,Lisboa,176.0,158,,177,,,,,,,,,160.0,,,,,,,,,,,,,
2024_123,Outro,125.0,120,,146,132.0,,,,,,,,,,,,,,,,,,,,,
2024_124,Outro,,142,,160,,166.0,159.0,122.0,,,,,,,,,,,,,,,,,,
2024_125,Lisboa,,116,,134,125.0,121.0,110.0,98.0,,,,,,,,,,,,,,,,,,
2024_126,Lisboa,130.0,115,,146,,,,,,,,149.0,,,,,,,,,,,,,,
2024_127,Outro,,106,,142,116.0,152.0,,,128.0,,,,,,,,,,,,,,,,,
2024_128,Coimbra,,146,125.0,167,,168.0,,,166.0,,,,,,,,,,,,,,,,,
2024_129,Coimbra,,125,,159,,168.0,136.0,126.0,,,,,,,,,,,,,,,,,,
2024_130,Porto,,125,,155,,,,,,161.0,130.0,,,,,,,,,,,,,,,
2024_131,Braga,,138,,165,,188.0,146.0,149.0,,,,,,,,,,,,,,,,,,
2024_132,Porto,,137,,157,,179.0,153.0,132.0,,,,,,,,,,,,,,,,,,
2024_133,Leiria,149.0,130,,161,147.0,,,,,,,,,,,,,,,,,,,,,
2024_134,Outro,,169,,174,,192.0,152.0,149.0,,,,,,,,,,,,,,,,,,
2024_135,Lisboa,,117,,137,,137.0,135.0,,,,108.0,,,,,,,,,,,,,,,
2024_136,Lisboa,150.0,129,120.0,149,,,,,,,,,,,,,,,,,,,,,,
2024_137,Faro,,196,,184,,185.0,162.0,146.0,,,,,,,,,,,,,,,,,,
2024_138,Porto,176.0,137,,169,151.0,,,,,,,,,,,,,,,,,,,,,
2024_139,Porto,,127,,157,,,,,,161.0,,,,140.0,,,,,,,,,,,,
2024_140,Porto,175.0,195,,199,,,,,,,,188.0,,,,,,,,,,,,,,
2024_141,Porto,,196,,199,,200.0,188.0,,,,200.0,,,,,,,175.0,,,,,,,,
2024_142,Porto,162.0,135,,176,,,,,,,,171.0,,,,,,,,,,,,,,
2024_143,Outro,98.0,68,,100,,,,,,,,,82.0,,,,,,,,,,,,,
2024_144,Porto,,158,137.0,180,,191.0,,,177.0,,,,,,,,,,,,,,,,,
2024_145,Outro,,119,,153,138.0,164.0,,,141.0,,,,,,,,,,,,,,,,,
2024_146,Lisboa,,140,,169,141.0,180.0,,,152.0,,,,,,,,,,,,,,,,,
2024_147,Porto,,180,,189,,183.0,184.0,,,,180.0,,,,,,,,,,,,,,,
2024_148,Lisboa,,149,,180,,196.0,156.0,177.0,,,,,,,,,,,,,,,,,,
2024_149,Porto,,67,,100,,45.0,81.0,67.0,,,,,,,,,,,,,,,,,,
2024_150,Setúbal,,83,,101,,97.0,90.0,,,,68.0,,,,,,,,,,,,,,,
2024_151,Outro,,126,,155,,,,,,156.0,161.0,,,,,,,,,,,,,,,
2024_152,Lisboa,,96,,109,,116.0,95.0,75.0,,,,,,,,,,,,,,,,,,
2024_153,Outro,,128,122.0,146,,142.0,,,150.0,,,,,,,,,,,,,,,,,
2024_154,Outro,,132,,159,,183.0,149.0,128.0,,,,,,,,,,,,,,,,,,
2024_155,Setúbal,,162,,200,200.0,194.0,,,186.0,,,,,,,,,,,,,,,,,
2024_156,Lisboa,,135,,161,,180.0,145.0,151.0,,,,,,,,,,,,,,,,,,
2024_157,Faro,,66,,100,,58.0,88.0,45.0,,,53.0,,,,,,,,,,,,,,,
2024_158,Porto,,133,,161,,175.0,150.0,117.0,,,,,,,,,,,,,,,,,,
2024_159,Lisboa,,140,,152,,160.0,141.0,120.0,,,,,,,,,,,,,,,,,,
2024_160,Porto,,178,,200,,200.0,200.0,,,,200.0,,,,,,,,,,,,,,,
2024_161,Lisboa,142.0,116,,140,127.0,,,,,,,,,,,,,,,,,,,,,
2024_162,Outro,,126,,151,,171.0,136.0,119.0,,,,,,,,,,,,,,,,,,
2024_163,Leiria,,126,,143,,141.0,140.0,112.0,,,,,,,,,,,,,,,,,,
2024_164,Setúbal,185.0,149,,190,,,,,,,,196.0,,,,,,,,,,,,,,
2024_165,Lisboa,,136,,152,,172.0,152.0,122.0,,,,,,,,,,,,,,,,,,
2024_166,Leiria,147.0,111,,148,122.0,,,,,,,,,,,,,,,,,,,,,
2024_167,Porto,155.0,126,,158,145.0,,,,,,,,,,,,,,,,,,,,,
2024_168,Outro,,87,,121,,,,,,130.0,,,,102.0,,,,,,,,,,,,
2024_169,Setúbal,,147,,174,,181.0,173.0,150.0,,,,,,,,,,,,,,,,,,
2024_170,Outro,,196,,200,,195.0,200.0,165.0,,,,,,,,,,,,,,,,,,
2024_171,Outro,166.0,162,,171,147.0,,,,,,,,,,,,,,,,,,,,,
2024_172,Outro,,105,,130,,127.0,118.0,110.0,,,,,,,,,,,,,,,,,,
2024_173,Outro,,138,,140,,146.0,137.0,118.0,,,,,,,,,,,,,,,,,,
2024_174,Lisboa,,152,,169,,185.0,148.0,136.0,,,,,,,,,,,,,,,,,,
2024_175,Lisboa,,99,,119,,99.0,119.0,98.0,,,,,,,,,,,,,,,,,,
2024_176,Porto,,56,60.0,100,,36.0,,,48.0,,,,,,,,,,,,,,,,,
2024_177,Porto,,127,107.0,141,,141.0,,,127.0,,,,,,,,,,,,,,,,,
2024_178,Outro,129.0,108,,132,118.0,,,,,,,,,,,,,,,,,,,,,
2024_179,Outro,,150,,184,,196.0,166.0,,,,173.0,,,,,,,,,,,,,,,
2024_180,Lisboa,160.0,135,,159,,,,,,,,,135.0,,,,,,,,,,,,,
2024_181,Faro,,156,,191,,187.0,167.0,,,,199.0,,,,,,,,,,,,,,,
2024_182,Lisboa,182.0,140,,172,,,,,,,,,147.0,,,,,,,,,,,,,
2024_183,Porto,167.0,155,,171,,,,,,,,,151.0,,,,,,,,,,,,,
2024_184,Setúbal,165.0,152,,176,,,,,,,,183.0,,,,,,,,,,,,,,
2024_185,Porto,,175,,187,159.0,186.0,,,176.0,,,,,,,,,,,,,,,,,
2024_186,Leiria,,157,,197,200.0,200.0,,196.0,180.0,,,,,,,,,,,,,,,,,
2024_187,Porto,,129,,153,,150.0,139.0,107.0,,,,,,,,,,,,,,,,,,
2024_188,Lisboa,87.0,95,80.0,101,,,,,,,,,,,,,,,,,,,,,,
2024_189,Braga,172.0,175,,189,160.0,,,,,,,,,,,,,,,,,,,,,
2024_190,Faro,184.0,171,,183,162.0,,,,,,,,,,,,,,,,,,,,,
2024_191,Lisboa,,147,,185,,,,,,175.0,,,,167.0,,,,,,,,,,,,
2024_192,Porto,176.0,155,,173,,,,,,,,177.0,146.0,,,,,,,,,,,,,
2024_193,Outro,192.0,161,,196,,,,,,,,200.0,,,,,,,,,,,,,,
2024_194,Braga,,172,,200,,199.0,200.0,196.0,,,,,,,,,,,,,,,,,,
2024_195,Braga,,141,,180,,185.0,163.0,148.0,,,,,,,,,,167.0,,,,,,,,
2024_196,Lisboa,148.0,133,,155,135.0,,,,,,,,,,,,,,,,,,,,,
2024_197,Porto,28.0,68,,100,85.0,,,,,,,,,,,,,,,,,,,,,
2024_198,Lisboa,,149,,174,,185.0,165.0,,,,152.0,,,,,,,,,,,,,,,
2024_199,Coimbra,,135,,161,,152.0,137.0,122.0,,,,,,,,,,,,,,,,,,
2024_200,Setúbal,,127,115.0,157,,176.0,,,153.0,,,,,,,,,,,,,,,,,
2024_201,Porto,132.0,129,,151,138.0,,,,,,,,,,,,,,,,,,,,,
2024_202,Porto,,97,,110,,120.0,103.0,87.0,,,,,,,,,,,,,,,,,,
2024_203,Braga,,131,,166,,,,,,163.0,150.0,,,,,,,,,,,,,,,
2024_204,Lisboa,,155,,187,,,,,,171.0,199.0,,,,,,,,,,,,,,,
2024_205,Lisboa,121.0,99,,134,,,,,,,,152.0,,,,,,,,,,,,,,
2024_206,Outro,115.0,97,,128,,,,,,,,135.0,,,,,,,,,,,,,,
2024_207,Porto,,50,,100,,31.0,50.0,32.0,,,,,,,,,,,,,,,,,,
2024_208,Lisboa,,155,140.0,181,,200.0,,,175.0,,,,,,,,,,,,,,,,,
2024_209,Outro,,130,,165,152.0,181.0,,,152.0,,,,,,,,,,,,,,,,,
2024_210,Outro,,152,,181,,185.0,166.0,,,,175.0,,,,,,,,,,,,,,,
2024_211,Leiria,200.0,182,,200,200.0,,,,,,,,,,,,,,,,,,,,,
2024_212,Outro,,149,,178,155.0,186.0,,,172.0,,,,,,,,,,,,,,,,,
2024_213,Outro,160.0,140,,159,,,,,,,,175.0,,,,,,,,,,,,,,
2024_214,Lisboa,,133,,175,,,,,,164.0,166.0,,,,,,,,,,,,,,,
2024_215,Setúbal,,118,,159,139.0,163.0,,,145.0,,,,,,,,,,,,,,,,,
2024_216,Lisboa,,124,118.0,155,,146.0,,,157.0,,,,,,,,,,,,,,,,,
2024_217,Lisboa,,112,,122,,123.0,109.0,103.0,,,,,,,,,,,,,,,,,,
2024_218,Lisboa,,196,,200,,,,,,190.0,,,,182.0,,,,,,,,,,,,
2024_219,Outro,186.0,175,,188,190.0,,,,,,,,,,,,,,,,,,,,,
2024_220,Setúbal,167.0,196,179.0,190,,,,,,,,,,,,,,,,,,,,,,
2024_221,Braga,,129,,157,,180.0,149.0,116.0,,,,,,,,,,,,,,,,,,
2024_222,Lisboa,,129,,158,,182.0,146.0,123.0,,,,,,,,,,,,,,,,,,
2024_223,Coimbra,167.0,155,,174,,,,,,,,173.0,,,,,,,,,,,,,,
2024_224,Outro,,83,85.0,100,,75.0,,,108.0,,,,,,,,,,,,,,,,,
2024_225,Lisboa,,102,96.0,128,,120.0,,,135.0,,,,,,,,,,,,,,,,,
2024_226,Porto,,165,,195,,195.0,187.0,,,,176.0,,,,,,,,,,,,,,,
2024_227,Lisboa,,110,,138,122.0,142.0,,,125.0,,,,,,,,,,,,,,,,,
2024_228,Outro,,106,,116,,105.0,100.0,95.0,,,,,,,,,,,,,,,,,,
2024_229,Lisboa,145.0,127,119.0,144,,,,,,,,,,,,,,,,,,,,,,
2024_230,Setúbal,,127,,162,,175.0,151.0,131.0,,,,,,,,,,,,,,,,,,
2024_231,Outro,152.0,120,,157,140.0,,,,,,,,,,,,,,,,,,,,,
2024_232,Setúbal,,145,,176,,187.0,165.0,145.0,,,,,,,,,,,,,,,,,,
2024_233,Lisboa,,137,135.0,180,,192.0,,,180.0,,,,,,,,,,,,,,,,,
2024_234,Lisboa,,156,,179,,195.0,155.0,168.0,,,,,,,,,,,,,,,,,,
2024_235,Faro,,138,,164,,176.0,149.0,135.0,,,,,,,,,,,,,,,,,,
2024_236,Outro,162.0,141,,174,,,,,,,,175.0,,,,,,,,,,,,,,
2024_237,Lisboa,155.0,143,122.0,145,,,,,,,,,,,,,,,,,,,,,,
2024_238,Lisboa,,90,90.0,111,,71.0,,,111.0,,,,,,,,,,,,,,,,,
2024_239,Faro,,160,,193,,,,,,175.0,,,,173.0,,,,,,,,,,,,
2024_240,Leiria,,111,,136,,,,,,150.0,,,,123.0,,,,,,,,,,,,
2024_241,Setúbal,,107,,129,,139.0,119.0,105.0,,,,,,,,,,,,,,,,,,
2024_242,Lisboa,,96,,110,105.0,81.0,,,99.0,,,,,,,,,,,,,,,,,
2024_243,Lisboa,87.0,71,68.0,100,,,,,,,,,,,,,,,,,,,,,,
2024_244,Outro,,100,,124,,,,,,132.0,,,,98.0,,,,,,,,,,,,
2024_245,Outro,156.0,127,,165,,,,,,,,176.0,,,,,,,,,,,,,,
2024_246,Braga,,196,,199,,192.0,188.0,168.0,,,,,,,,,,,,,,,,,,
2024_247,Lisboa,,119,,144,,126.0,125.0,,,,140.0,,,,,,,,,,,,,,,
2024_248,Porto,161.0,138,132.0,158,,,,,,,,,,,,,,,,,,,,,,
2024_249,Setúbal,,155,,163,,170.0,157.0,127.0,,,,,,,,,,,,,,,,,,
2024_250,Lisboa,,142,,168,,,,,,180.0,,,,158.0,,,,,,,,,,,,
2024_251,Outro,123.0,116,,140,131.0,,,,,,,,,,,,,,,,,,,,,
2024_252,Lisboa,168.0,155,,188,,,,,,,,200.0,,,,,,,,,,,,,,
2024_253,Outro,154.0,127,,156,139.0,,,,,,,,,,,,,,,,,,,,,
2024_254,Lisboa,,158,,179,,198.0,159.0,157.0,,,,,,,,,,,,,,,,,,
2024_255,Lisboa,,161,,184,,191.0,181.0,149.0,,,,,,,,,,,,,,,,,,
2024_256,Outro,,166,,200,,200.0,200.0,,,,198.0,,,,,,,,,,,,,,,
2024_257,Porto,140.0,121,,141,125.0,,,,,,,,,,,,,,,,,,,,,
2024_258,Outro,166.0,137,,172,158.0,,,,,,,,,,,,,,,,,,,,,
2024_259,Lisboa,,126,,149,,170.0,141.0,107.0,,,,,,,,,,,,,,,,,,
2024_260,Lisboa,,111,,140,,147.0,136.0,93.0,,,,,,,,,,,,,,,,,,
2024_261,Outro,,127,,163,145.0,175.0,,,156.0,,,,,,,,,,,,,,,,,
2024_262,Porto,200.0,196,,200,162.0,,,,,,,,,,,,,,,,,,,,,
2024_263,Outro,,172,,177,,185.0,156.0,146.0,,,,,,,,,,,,,,,,,,
2024_264,Outro,,137,,159,,,,,,155.0,,,,149.0,,,,,,,,,,,,
2024_265,Lisboa,,108,,142,,,,,,153.0,137.0,,,,,,,,,,,,,,,
2024_266,Outro,,121,,148,,172.0,132.0,134.0,,,,,,,,,,,,,,,,,,
2024_267,Setúbal,,115,,151,127.0,155.0,,,145.0,,,,,,,,,,,,,,,,,
2024_268,Lisboa,,150,,161,,168.0,148.0,142.0,,,,,,,,,,,,,,,,,,
2024_269,Porto,,126,,151,,166.0,130.0,126.0,,,,,,,,,,,,,,,,,,
2024_270,Outro,117.0,110,105.0,126,,,,,,,,,,,,,,,,,,,,,,
2024_271,Outro,,121,111.0,127,,130.0,,,132.0,,,,,,,,,,,,,,,,,
2024_272,Lisboa,172.0,158,,184,,,,,,,,176.0,,,,,,,,,,,,,,
2024_273,Lisboa,,149,,181,,200.0,165.0,149.0,,,,,,,,,,,,,,,,,,
2024_274,Lisboa,140.0,105,109.0,131,,,,,,,,,,,,,,,,,,,,,,
2024_275,Porto,,66,,100,,56.0,61.0,43.0,,,,,,,,,,,,,,,,,,
2024_276,Porto,,177,,185,,194.0,168.0,154.0,,,,,,,,,,,,,,,,,,
2024_277,Lisboa,,176,,193,,183.0,158.0,,,,180.0,,,,,,,,,,,,,,,
2024_278,Coimbra,130.0,101,96.0,122,,,,,,,,,,,,,,,,,,,,,,
2024_279,Lisboa,,66,,100,,48.0,87.0,55.0,,,,,,,,,,,,,,,,,,
2024_280,Outro,133.0,128,,142,,,,,,,,,127.0,,,,,,,,,,,,,
2024_281,Coimbra,159.0,147,117.0,157,,,,,,,,,,,,,,,,,,,,,,
2024_282,Setúbal,,98,95.0,110,,97.0,,,110.0,,,,,,,,,,,,,,,,,
2024_283,Braga,,151,,185,,200.0,170.0,,,,186.0,,,,,,,,,,,,,,,
2024_284,Outro,153.0,146,128.0,159,,,,,,,,,,,,,,,,,,,,,,
2024_285,Porto,,178,,200,,195.0,200.0,,,,200.0,,,,,,,,,,,,,,,
2024_286,Lisboa,,87,,100,,,,,,128.0,52.0,,,,,,,,,,,,,,,
2024_287,Porto,96.0,81,,117,,,,,,,,129.0,,,,,,,,,,,,,,
2024_288,Leiria,,136,,166,,163.0,156.0,,,,141.0,,,,,,,,,,,,,,,
2024_289,Outro,127.0,110,,133,,,,,,,,,115.0,,,,,,,,,,,,,
2024_290,Porto,76.0,87,78.0,100,,,,,,,,,,,,,,,,,,,,,,
2024_291,Porto,128.0,128,,142,,,,,,,,,116.0,,,,,,,,,,,,,
2024_292,Braga,,110,,124,,125.0,128.0,,,,108.0,,,,,,,,100.0,,,,,,,
2024_293,Lisboa,69.0,63,,100,79.0,,,,,,,,,,,,,,,,,,,,,
2024_294,Lisboa,158.0,146,,165,,,,,,,,,143.0,,,,,,,,,,,,,
2024_295,Porto,126.0,110,113.0,121,,,,,,,,,,,,,,,,,,,,,,
2024_296,Braga,,121,,158,,161.0,149.0,,,,151.0,,,,,,,,,,,,,,,
