Aluno_ID,Distrito,Matematica_A,Biologia_Geologia,Fisica_Quimica_A,Portugues,Nota_Interna,Historia_A,Ingles,Geometria_Descritiva_A,Economia_A,MACS,Desenho_A,HCA,Literatura_Portuguesa,Geografia_A,Espanhol_Iniciacao,Historia_B,Matematica_B,Filosofia,Portugues_LNM,Alemao,Frances,Latim_A
2017_65,Braga,151.0,,126.0,135,157,,,185.0,,,,,,,,,,,,,,
2017_66,Outro,,,,118,139,,,123.0,,,147.0,,,,,,,,,,,
2017_67,Outro,,,,107,124,,,,,,139.0,85.0,,,,,,,,,,
2017_68,Coimbra,45.0,,,88,100,,,,77.0,59.0,,,,,,,,,,,,
2017_69,Lisboa,175.0,150.0,150.0,150,176,,,,,,,,,,,,,,,,,
2017_70,Porto,,,,175,185,161.0,,,,192.0,,,,,,,,,,,,
2017_71,Outro,138.0,,152.0,126,153,,,161.0,,,,,,,,,,,,,,
2017_72,Lisboa,111.0,90.0,80.0,115,116,,,,,,,,,,,,,,,,,
2017_73,Outro,158.0,143.0,160.0,156,165,,,,,,,,,,,,,,,,,
2017_74,Porto,90.0,,,96,102,,,,109.0,81.0,,,,,,,,,,,,
2017_75,Outro,98.0,,,95,107,,,,96.0,79.0,,,,,,,,,,,,
2017_76,Lisboa,,,,117,136,126.0,,,,,,,126.0,,,133.0,,,,,,
2017_77,Porto,,,,119,146,,,136.0,,,151.0,,,,,,,,,,,
2017_78,Outro,187.0,156.0,151.0,135,172,,,,,,,,,,,,,,,,,
2017_79,Lisboa,125.0,100.0,102.0,108,126,,,,,,,,,,,,,,,,,
2017_80,Outro,,,,70,100,75.0,,,,,,,,95.0,,,,,,,,
2017_81,Outro,,,,107,117,105.0,,,,,,,118.0,,,,,,,,,
2017_82,Leiria,127.0,126.0,133.0,136,149,,,,,,,,,,,,,,,,,
2017_83,Outro,,,,121,142,131.0,,,,,,,119.0,,,,,,,,,
2017_84,Outro,,,,142,168,,,161.0,,,160.0,,,,,,,,,,,
2017_85,Outro,,,,135,169,,,179.0,,,149.0,,,,,,,,,,,
2017_86,Lisboa,,,,90,100,,,,,,122.0,56.0,,,,,,,,,,
2017_87,Outro,101.0,,,105,123,,,,114.0,88.0,,,,,,,,,,,,
2017_88,Outro,200.0,,155.0,190,200,,,197.0,,,,,,,,,,,,,,
2017_89,Lisboa,125.0,,,128,133,,,,119.0,120.0,,,,,,,,,,,,
2017_90,Porto,,,,80,100,81.0,,,,,,,85.0,,,,,,,,,
2017_91,Faro,115.0,,90.0,107,128,,,122.0,,,,,,,,,,,,,,
2017_92,Coimbra,,,,105,117,100.0,,,,,,,,115.0,,,,,,,,
2017_93,Outro,177.0,,195.0,150,188,,,199.0,,,,,,,,,,,,,,
2017_94,Outro,200.0,,,148,200,,,,200.0,192.0,,,,,,,,,,,,
2017_95,Lisboa,115.0,100.0,116.0,111,124,,,,,,,,,,,,,,,,,
2017_96,Setúbal,,,,135,153,135.0,,,,121.0,,,141.0,,,,,,,,,
2017_97,Lisboa,130.0,123.0,112.0,132,135,,,,,,,,,,,,,,,,,
2017_98,Outro,62.0,77.0,62.0,89,100,,,,,,,,,,,,,,,,,
2017_99,Outro,166.0,145.0,180.0,155,176,,,,,,,,,,,,,,,,,
2017_100,Outro,105.0,88.0,88.0,95,102,,,,,,,,,,,,,,,,,
2017_101,Braga,100.0,105.0,90.0,106,115,,,,,,,,,,,,,,,,,
2017_102,Outro,,,,98,104,96.0,,,,,,,,95.0,,,,,,,,
2017_103,Braga,160.0,155.0,195.0,138,175,,,,,,,,,,,,,,,,,
2017_104,Faro,,,,100,109,95.0,,,,,,,,102.0,,,,,,,,
2017_105,Lisboa,118.0,,,117,129,,,,124.0,,,,,111.0,,,,,,,,
2017_106,Lisboa,140.0,,,135,148,,,,150.0,131.0,,,,,,,,,,,,
2017_107,Leiria,,,,133,155,135.0,,,,,,,,159.0,,,,,,,,
2017_108,Outro,,,,77,101,84.0,,,,,,,95.0,,,,,,,,,
2017_109,Setúbal,,,,165,171,180.0,,,,,,,,141.0,,,,,,,,
2017_110,Porto,125.0,,,115,128,,,,116.0,,,,,109.0,,,,,,,,
2017_111,Outro,108.0,,95.0,115,120,,,135.0,,,,,,,,,,,,,,
2017_112,Lisboa,149.0,,,121,145,,,,144.0,117.0,,,,,,,,,,,,
2017_113,Lisboa,,,,85,100,82.0,,,,87.0,,,,,,,,,,,,
2017_114,Outro,100.0,,86.0,105,111,,,80.0,,,,,,110.0,,,,,,,,
2017_115,Lisboa,,,,135,169,,,160.0,,,162.0,,,,,147.0,,,,,,
2017_116,Lisboa,118.0,95.0,89.0,98,107,,,,,,,,,,,,,,,,,
2017_117,Leiria,135.0,116.0,136.0,118,141,,,,,,,,,,,,,,,,,
2017_118,Braga,,,,102,102,89.0,,,,,,,,100.0,,,,,,,,
2017_119,Outro,118.0,,,120,134,,,,121.0,122.0,,107.0,,,,,,,,,,
2017_120,Lisboa,,,,121,130,112.0,,,,,,,115.0,,,,,,,,,
2017_121,Porto,,,,109,118,95.0,,,,,,,,116.0,,,,,,,,
2017_122,Porto,,,,101,100,85.0,,,,76.0,,,,,,,,,,,,
2017_123,Outro,87.0,,81.0,89,100,,,70.0,,,,,,,,,,,,,,
2017_124,Porto,,,,108,124,101.0,116.0,,,,,,,,,,,,,,,
2017_125,Braga,,,,135,175,,,179.0,,,168.0,,,,,,,,,,,
2017_126,Outro,127.0,,103.0,110,130,,,123.0,,,,,,,,,,,,,,
2017_127,Outro,119.0,,117.0,110,135,,,133.0,,,,,,,,,,,,,,
2017_128,Coimbra,185.0,,,169,183,,,,187.0,137.0,,,,,,,,,,,,
2017_129,Lisboa,156.0,147.0,138.0,135,160,,,,,,,,,,,,,,,,,
2017_130,Porto,126.0,111.0,118.0,106,130,,,,,,,,,,,,116.0,,,,,
2017_131,Outro,145.0,,,138,152,,,,155.0,137.0,,,,,,,,,,,,
2017_132,Leiria,185.0,131.0,142.0,170,172,,,,,,,,,145.0,,,,,,,,
2017_133,Lisboa,187.0,158.0,162.0,172,182,,,,,,,,,,,,,,,,,
2017_134,Lisboa,131.0,,,117,140,,,,129.0,,,,,139.0,,,,,,,,
2017_135,Lisboa,,,,155,158,135.0,,,,,,,149.0,,,,,,,,,
2017_136,Porto,,,,141,142,115.0,,,,,,,127.0,,,,,,,,,
2017_137,Porto,131.0,110.0,128.0,135,134,,,,,,,,,,,,,,,,,
2017_138,Porto,149.0,135.0,158.0,160,166,,,,,,,,,,,,,,,,,
2017_139,Outro,,,,120,153,125.0,157.0,,,,,,,,,,,,,,,
2017_140,Outro,,,,115,125,117.0,,,,110.0,,,,,,,,,,,,
2017_141,Lisboa,127.0,101.0,117.0,110,129,,,,,,,,,,,,,,,,,
2017_142,Lisboa,115.0,105.0,80.0,109,120,,,,,,,,,,,,,,,,,
2017_143,Porto,150.0,,127.0,126,164,,,185.0,,,,,,,,,,,,,,
2017_144,Porto,95.0,,,86,100,,,,100.0,72.0,,,,,,,,,,,,
2017_145,Porto,148.0,139.0,125.0,130,149,,,,,,,,,,,,,,,,,
2017_146,Porto,200.0,,,190,195,,,,178.0,,,,,163.0,,,,,,,,
2017_147,Coimbra,130.0,,,110,136,,,,118.0,98.0,,,,,,,,,,,,
2017_148,Outro,96.0,103.0,85.0,102,108,,,,,,,,,,,,,,,,,
2017_149,Braga,,,,107,140,,,115.0,,,139.0,,,,,,,,,,,
2017_150,Lisboa,155.0,,,122,159,,,,158.0,,,,,137.0,,,,,,,,
2017_151,Lisboa,,,,109,133,123.0,146.0,,,,,,,,,,,,,,,
2017_152,Outro,118.0,,,131,133,,,,127.0,118.0,,,,,,,,,,,,
2017_153,Lisboa,,,,155,194,,,187.0,,,196.0,,,,,,,,,,,
2017_154,Porto,,,,190,190,192.0,,,,,,,149.0,,,,,,,,,
2017_155,Porto,131.0,107.0,98.0,105,127,,,,,,,,,,,,,,,,,
2017_156,Porto,,,,112,120,97.0,,,,,,,,113.0,,,,,,,,
2017_157,Outro,,,,190,182,,,,,,172.0,135.0,,,,,,,,,,
2017_158,Outro,,,,118,146,,,,,,159.0,117.0,,,,,,,,,,
2017_159,Outro,,,,97,117,87.0,,,,,,,,107.0,,,,,,,,
2017_160,Setúbal,110.0,108.0,110.0,100,120,,,,,,,,,,,,,,,,,
2017_161,Braga,,,,130,147,111.0,,,,,,,140.0,,,,,,,,,
2017_162,Lisboa,,,,101,116,102.0,120.0,,,,,,,,,,,,,,,
2017_163,Leiria,46.0,,45.0,75,100,,,35.0,,,,,,,,,,,,,,
2017_164,Porto,175.0,,165.0,175,188,,,197.0,,,,,,,,,,,,,,
2017_165,Lisboa,136.0,,,111,138,,,,135.0,,,,,126.0,,,,,,,,
2017_166,Lisboa,145.0,,,128,147,,,,145.0,,,,,127.0,,,,,,,,
2017_167,Outro,137.0,136.0,112.0,125,140,,,,,,,,,,,,,,,,,
2017_168,Porto,130.0,117.0,122.0,107,124,,,,,,,,,,,,,,,,,
2017_169,Lisboa,71.0,71.0,55.0,85,100,,,,,,,,,,,,,,,,,
2017_170,Lisboa,,,,145,156,135.0,,,,139.0,,,,,,,,,,,,
2017_171,Outro,,,,122,143,,,,,,163.0,110.0,,,,,,,,,,
2017_172,Outro,53.0,,,66,100,,,,63.0,61.0,,,,,,,,,,,,
2017_173,Braga,,,,95,109,96.0,,,,,,,,100.0,,,,,,,,
2017_174,Porto,95.0,91.0,82.0,102,100,,,,,,,,,,,,,,,,,
2017_175,Faro,80.0,80.0,85.0,95,103,,,,,,,,,,,,,,,,,
2017_176,Porto,,,,110,140,109.0,142.0,,,,,,,,,,,,,,,
2017_177,Coimbra,175.0,125.0,135.0,139,163,,,,,,,,,,,,,,,,,
2017_178,Setúbal,175.0,130.0,136.0,135,158,,,,,,,,,,,,,,,,,
2017_179,Leiria,121.0,,,109,139,,,,131.0,,,,,116.0,,,,,,,,
2017_180,Outro,,,,101,118,101.0,,,,,,,101.0,,,,,,,,,
2017_181,Porto,146.0,,,152,165,,,,168.0,149.0,,,,,,,,,,,,
2017_182,Outro,,,,136,148,125.0,156.0,,,,,,,,,,,,,,,
2017_183,Braga,,,,135,165,,,166.0,,,155.0,,,,,,,,,,,
2017_184,Faro,,,,86,102,,,62.0,,,118.0,,,,,,,,,,,
2017_185,Lisboa,151.0,135.0,129.0,126,149,,,,,,,,,,,,,,,,,
2017_186,Porto,,,,130,169,147.0,,,,,,,,151.0,,,,,,,,
2017_187,Outro,185.0,,147.0,190,192,,,200.0,,,,,,,,,,,,,,
2017_188,Porto,75.0,99.0,87.0,105,105,,,,,,,,,,,,,,,,,
2017_189,Setúbal,,,,158,165,161.0,,,,,,,138.0,,,,,,,,,
2017_190,Lisboa,,,,135,157,128.0,,,,,,,152.0,,,,,,,,,
2017_191,Coimbra,107.0,100.0,81.0,111,113,,,,,,,,,,,,,,,,,
2017_192,Porto,200.0,148.0,150.0,157,176,,,,,,,,,,,,,,,,,
2017_193,Lisboa,158.0,125.0,158.0,152,160,,,,,,,,,,,,,,,,,
2017_194,Porto,102.0,85.0,96.0,97,112,,,,,,,,,,,,,,,,,
2017_195,Braga,175.0,,,149,174,,,,175.0,140.0,,,,,,,,,,,,
2017_196,Porto,110.0,,,95,109,,,,115.0,86.0,,,,,,,,,,,,
2017_197,Outro,,,,95,106,87.0,,,,95.0,,,,,,,,,,,,
2017_198,Outro,,,,110,114,91.0,,,,95.0,,,,,,,,,,,,
2017_199,Lisboa,,,,95,116,97.0,,,,,,,110.0,,,,,,,,,
2017_200,Lisboa,110.0,100.0,108.0,115,120,,,,,,,,,,,,,,,,,
2017_201,Lisboa,,,,98,122,,,88.0,,,139.0,,,,,,,,,,,
2017_202,Outro,,,,115,134,125.0,,,,,,,,118.0,,,,,,,,
2017_203,Porto,86.0,,86.0,95,104,,,106.0,,,,,,,,,,,,,,
2017_204,Setúbal,,,,112,120,98.0,,,,,,,,110.0,,,,118.0,,,,
2017_205,Outro,176.0,,,156,176,,,,170.0,155.0,,,,,,,,,,,,
2017_206,Setúbal,46.0,,,67,100,,,,75.0,60.0,,,,,,,,,,,,
2017_207,Lisboa,147.0,115.0,137.0,122,142,,,,,,,,,,,,,,,,,
2017_208,Outro,,,,135,148,137.0,155.0,,,,,,,,,,,,,,,
2017_209,Lisboa,95.0,85.0,83.0,95,104,,,,,,,,,,,,,,,,,
2017_210,Faro,107.0,101.0,116.0,119,121,,,,,,,,,,,,,,,,,
2017_211,Outro,95.0,101.0,98.0,111,115,,,,,,,,,,,,,,,,,
2017_212,Porto,33.0,56.0,56.0,85,100,,,,,,,,,,,,,,,,,
2017_213,Braga,183.0,145.0,160.0,148,173,,,,,,,,,,,,,,,,,
2017_214,Braga,,,,157,183,185.0,167.0,,,,,,,,,,,,,,,
2017_215,Outro,146.0,115.0,102.0,125,134,,,,,,,,,,,,,,,,,
2017_216,Lisboa,,,,76,100,66.0,95.0,,,,,,,,,,,,,,,
2017_217,Faro,120.0,,,121,136,,,,132.0,,,,,109.0,,,,,,,,
2017_218,Outro,,,,126,159,145.0,158.0,,,,,,,,,,,,,,,
2017_219,Lisboa,,,,146,167,155.0,,,,,,,160.0,,,,,,,,,
2017_220,Braga,93.0,81.0,79.0,88,100,,,,,,,,,,,,,,,,,
2017_221,Lisboa,138.0,121.0,135.0,136,149,,,,,,,,,,,,,,,,,
2017_222,Lisboa,70.0,81.0,73.0,80,100,,,,,,,,,,,,,,,,,
2017_223,Setúbal,,,,101,113,85.0,,,,,,,,105.0,,,,,,,,
2017_224,Coimbra,,,,115,122,110.0,,,,,,,111.0,,,,,,,,,
2017_225,Braga,125.0,,103.0,115,132,,,155.0,,,,,,,,,,,,,,
2017_226,Outro,,,,120,150,,,145.0,,,146.0,,,,,,,,,,,
2017_227,Lisboa,195.0,135.0,140.0,135,166,,,,,,,,,,,,,,,,,
2017_228,Outro,126.0,,,127,139,,,,126.0,,,,,117.0,,,,,,,,
2017_229,Outro,145.0,139.0,138.0,128,146,,,,,,,,,,,148.0,,,,,,
2017_230,Setúbal,,,,120,133,108.0,,,,,,,117.0,,,,,,,,,
2017_231,Outro,166.0,,148.0,149,179,,,168.0,,,,,,,,,,,,,,
2017_232,Lisboa,165.0,,,140,153,,,,151.0,125.0,,,,,,,,,,,,
2017_233,Lisboa,175.0,156.0,137.0,147,167,,,,,,,,,,,,,,,,,
2017_234,Lisboa,116.0,,,111,123,,,,118.0,85.0,,,,,,,,,,,,
2017_235,Outro,,,,150,164,159.0,,,,,,,,142.0,,,,,,,,
2017_236,Lisboa,143.0,,,120,138,,,,125.0,,,,,115.0,,,,,,,,
2017_237,Outro,148.0,,139.0,117,153,,,165.0,,,,,,,,,,,,,,
2017_238,Outro,,,,149,194,,,197.0,,,196.0,,,,,,,,,,,
2017_239,Porto,183.0,,171.0,150,192,,,198.0,,,,,,,,,,,,,,
2017_240,Lisboa,106.0,,,105,115,,,,96.0,79.0,,,,,,,,,,,,
2017_241,Faro,,,,115,147,,,143.0,,,143.0,,,,,,,,,,,
2017_242,Lisboa,121.0,114.0,110.0,125,126,,,,,,,,,,,,,,,,,
2017_243,Lisboa,119.0,127.0,112.0,115,130,,,,,,,,,,,,,,,,,
2017_244,Outro,,,,127,161,,,156.0,,,168.0,,,,,,,,,,,
2017_245,Lisboa,,,,107,113,95.0,,,,86.0,,,,,,,,,,,,
2017_246,Coimbra,,,,111,133,,,121.0,,,130.0,,,,,,,,,,,
2017_247,Lisboa,147.0,,139.0,129,166,,,197.0,,,,,,,,,,,,,,
2017_248,Coimbra,129.0,,,106,130,,,,118.0,111.0,,,,,,,,,,,,
2017_249,Lisboa,108.0,,,117,127,,,,127.0,,,,,110.0,,,,,,,,
2017_250,Setúbal,82.0,97.0,95.0,105,112,,,,,,,,,,,,,,,,,
2017_251,Outro,189.0,,146.0,152,184,,,199.0,,,,,,,,,,,,,,
2017_252,Lisboa,,,,115,136,108.0,,,,,,,116.0,,,,,,,,,
2017_253,Outro,168.0,140.0,118.0,127,152,,,,,,,,,,,,,,,,,
2017_254,Porto,175.0,,,155,171,,,,142.0,,,,,137.0,,,,,,,,
2017_255,Porto,168.0,,150.0,135,177,,,175.0,,,,,,,,,,,,,,
2017_256,Outro,118.0,107.0,112.0,109,123,,,,,,,,,,,,,,,,,
2017_257,Lisboa,117.0,,,107,127,,,,137.0,109.0,,,,,,,,,,,,
2017_258,Lisboa,180.0,143.0,185.0,140,171,,,,,,,,,,,,,,,,,
2017_259,Coimbra,,,,95,109,,,79.0,,,131.0,,,,,,,,,,,
2017_260,Outro,,,,108,133,109.0,,,,,,,118.0,,,,,,,,,
2017_261,Lisboa,75.0,85.0,71.0,95,105,,,,,,,,,,,,,,,,,
2017_262,Lisboa,,,,46,100,66.0,,,,,,,65.0,,,,,,,,,
2017_263,Outro,,,,160,173,,,,,,196.0,146.0,,,,,,,,,,
2017_264,Porto,,,,147,190,,,193.0,,,180.0,,,,,,,,,,,
2017_265,Coimbra,159.0,129.0,141.0,139,151,,,,,,,,,,,,,,,,,
2017_266,Porto,,,,127,136,127.0,,,,120.0,,,,,,,,,,,,
2017_267,Faro,,,,118,149,,,,,,148.0,125.0,,,,,,,,,,
2017_268,Outro,,,,125,135,121.0,,,,,,,,122.0,,,,,,,,
2017_269,Lisboa,76.0,,,78,100,,,,81.0,,,,,96.0,,,,,,,,
2017_270,Porto,119.0,,,120,143,,,,139.0,,,,,123.0,,,,,,,,
2017_271,Setúbal,,,,118,129,101.0,,,,,,,115.0,,,,,,,,,
2017_272,Braga,200.0,141.0,152.0,139,165,,,,,,,,,,,,,,,,,
2017_273,Porto,98.0,,,90,100,,,,86.0,77.0,,,,,,,,,,,,
2017_274,Lisboa,,,,115,124,112.0,,,,,,,109.0,,,,,,,,,
2017_275,Braga,170.0,150.0,166.0,178,173,,,,,,,,,,,,,,,,,
2017_276,Lisboa,,,,135,154,,,,,,159.0,125.0,,,,,,,,,,
2017_277,Outro,,,,87,111,,,76.0,,,127.0,,,,,,,,,,,
2017_278,Lisboa,,,,86,100,65.0,,,,,,,85.0,,,,,,,,,
2017_279,Braga,,,,135,140,122.0,,,,,,,119.0,,,,,,,,,
2017_280,Outro,181.0,131.0,152.0,137,161,,,,,,,,,,,,,,,,,
2017_281,Porto,100.0,90.0,102.0,96,109,,,,,,,,,,,,,,,,,
2017_282,Lisboa,,,,116,131,111.0,,,,,,,,122.0,,,,,,,,
2017_283,Lisboa,100.0,,,98,110,,,,119.0,85.0,,,,,,,,,,,,
2017_284,Braga,167.0,,,190,200,,,,200.0,192.0,,,,,,,,,,,,
2017_285,Porto,140.0,,,127,151,,,,147.0,138.0,,,,,,,,,,,,
2017_286,Outro,101.0,,,105,122,,,,109.0,100.0,,,,,,,,,,,,
2017_287,Leiria,105.0,,,105,119,,,,115.0,103.0,,,,,,,,,,,,
2017_288,Setúbal,,,,96,110,89.0,,,,,,,105.0,,,,,,,,,
2017_289,Lisboa,6.0,,49.0,67,100,,,20.0,,,,,,,,,,,,,,
2017_290,Braga,,,,175,172,,,,,,180.0,125.0,,,,,,,,,,
2017_291,Outro,101.0,86.0,97.0,102,116,,,,,,,,,,,,,,,,,
2017_292,Lisboa,116.0,102.0,105.0,100,121,,,,,,,,,,,,,,,,,
2017_293,Porto,95.0,95.0,70.0,105,104,,,,,,,,,,,,,,,,,
2017_294,Braga,,,,95,109,,,58.0,,,130.0,,,,,,,,,,,
2017_295,Lisboa,,,,101,126,,,112.0,,,126.0,,,,,,,,,,,
2017_296,Coimbra,69.0,76.0,83.0,95,100,,,,,,,,,,,,,,,,,
2017_297,Coimbra,,,,86,100,70.0,100.0,,,,,,,,,,,,,,,
2017_298,Outro,,,,138,139,,,,,,147.0,109.0,,,,,,,,,,
2017_299,Braga,85.0,,65.0,86,100,,,76.0,,,,,,,,,,,,,,
2017_300,Porto,77.0,,,87,100,,,,89.0,67.0,,,,,,,,,,,,
2017_301,Braga,,,,168,199,,,198.0,,,196.0,,,,,,,,,,,
2017_302,Porto,,,,105,119,96.0,129.0,,,,,,,,,,,,,,,
2017_303,Outro,110.0,112.0,92.0,108,115,,,,,,,,,,,,,,,,,
2017_304,Lisboa,97.0,86.0,72.0,89,101,,,,,,,,,,,,,,,,,
2017_305,Outro,,,,127,138,130.0,,,,131.0,,,,,,,,,,,,
2017_306,Porto,99.0,,83.0,99,111,,,115.0,,,,,,,,,,,,,,
2017_307,Lisboa,127.0,,,119,138,,,,130.0,,,,,128.0,,,,,,,,
2017_308,Porto,150.0,130.0,155.0,160,163,,,,,,,,,,,,,,,,,
2017_309,Porto,,,,122,149,125.0,157.0,,,,,,,,,,,,,,,
2017_310,Porto,75.0,85.0,67.0,95,100,,,,,,,,,,,,,,,,,
2017_311,Porto,,,,145,172,145.0,,,,,,,,175.0,,,,,,,,
2017_312,Lisboa,117.0,111.0,121.0,115,127,,,,,,,,,,,,,,,,,
2017_313,Braga,,,,155,162,136.0,,,,,,,145.0,,,,,,,,,
2017_314,Coimbra,185.0,,195.0,190,200,,,200.0,,,,,,,,,,,,,,
2017_315,Outro,80.0,87.0,85.0,105,106,,,,,,,,,,,,,,,,,
2017_316,Outro,,,,181,189,172.0,,,,,,,,187.0,,,,,,,,
2017_317,Outro,191.0,148.0,165.0,151,178,,,,,,,,,,,,,,,,,
2017_318,Outro,100.0,111.0,114.0,105,117,,,,,,,,,,,,,,,,,
2017_319,Porto,,,,105,122,97.0,136.0,,,,,,,,,,,,,,,
2017_320,Lisboa,,,,110,129,,,108.0,,,131.0,,,,,,,,,,,
2017_321,Lisboa,,,,115,128,100.0,,,,,,,121.0,,,,,,,,,
2017_322,Lisboa,95.0,,85.0,100,103,,,86.0,,,,,,,,,,,,,,
2017_323,Porto,96.0,,,95,112,,,,102.0,,,,,105.0,,,,,,,,
2017_324,Lisboa,,,,106,130,,,,,,137.0,83.0,,,,,,,,,,
2017_325,Setúbal,145.0,132.0,158.0,161,159,,,,,,,,,,,,,,,,,
2017_326,Lisboa,,,,106,126,96.0,,,,109.0,,,,,,,,,,,,
2017_327,Setúbal,111.0,,111.0,121,138,,,166.0,,,,,,,,,,,,,,
