Aluno_ID,Distrito,Historia_A,Portugues,Geografia_A,Nota_Interna,Matematica_A,Fisica_Quimica_A,Biologia_Geologia,Geometria_Descritiva_A,Economia_A,Desenho_A,Filosofia,HCA,MACS,Literatura_Portuguesa,Ingles,Historia_B,Matematica_B,Latim_A,Alemao,Espanhol_Iniciacao,Portugues_L2,Portugues_LNM,Frances
2018_138,Coimbra,151.0,157,,169,,,,,,,,,165.0,,,,,,,,,,
2018_139,Lisboa,98.0,112,,120,,,,,,,,,,111.0,,,,,,,,,
2018_140,Lisboa,,77,,100,56.0,75.0,76.0,,,,,,,,,,,,,,,,
2018_141,Leiria,,135,,153,155.0,129.0,135.0,,,,,,,,,,,,,,,,
2018_142,Porto,,86,102.0,100,69.0,,,,71.0,,,,,,,,,,,,,,
2018_143,Faro,,101,,118,97.0,119.0,115.0,,,,,,,,,,,,,,,,
2018_144,Lisboa,,85,,100,87.0,84.0,,58.0,,,,,,,,,,,,,,,
2018_145,Outro,91.0,100,,113,,,,,,,,,,,127.0,,,,,,,,
2018_146,Lisboa,48.0,51,,100,,,,,,,,,,0.0,,,,,,,,,
2018_147,Porto,,98,,100,75.0,101.0,,63.0,,,,,,,,,,,,,,,
2018_148,Lisboa,,127,142.0,142,129.0,,,,131.0,,,,,,,,,,,,,,
2018_149,Outro,,99,108.0,110,75.0,,,,82.0,,,,,,,,,,,,,,
2018_150,Setúbal,,122,,133,122.0,123.0,122.0,,,,,,,,,,,,,,,,
2018_151,Lisboa,,190,,200,200.0,200.0,195.0,,,,,,,,,,,,,,,,
2018_152,Outro,156.0,152,154.0,166,,,,,,,,,,,,,,,,,,,
2018_153,Porto,103.0,105,,121,,,,,,,,,106.0,,,,,,,,,,
2018_154,Outro,97.0,108,,116,,,,,,,,,,101.0,,,,,,,,,
2018_155,Porto,,135,,172,168.0,,,,158.0,,,,155.0,,,,,,,,,,
2018_156,Lisboa,,95,,111,,,,,,135.0,,78.0,,,,,,,,,,,
2018_157,Outro,,155,,171,165.0,164.0,155.0,,,,,,,,,,,,,,,,
2018_158,Setúbal,,126,,130,107.0,129.0,106.0,,,,,,,,,,,,,,,,
2018_159,Faro,112.0,145,,145,,,,,,,,,,129.0,,,,,,,,,
2018_160,Porto,,116,,139,123.0,109.0,115.0,,,,,,,,,,,,,,,,
2018_161,Outro,,140,,161,,,,,,162.0,,150.0,,,,,,,,,,,
2018_162,Porto,95.0,119,,120,,,,,,,,,95.0,,,,,,,,,,
2018_163,Braga,,95,,121,,,,95.0,,130.0,,,,,,,,,,,,,
2018_164,Coimbra,,135,,162,,,,155.0,,161.0,,,,,,,,,,,,,
2018_165,Outro,,190,,199,,,,,,172.0,,190.0,,,,,,,,,,,
2018_166,Lisboa,,117,,129,102.0,,,,121.0,,,,115.0,,,,,,,,,,
2018_167,Faro,,80,90.0,100,65.0,,,,86.0,,,,,,,,,,,,,,
2018_168,Lisboa,,95,,115,,,,69.0,,125.0,,,,,,,,,,,,,
2018_169,Outro,,95,,100,76.0,,,,92.0,,,,83.0,,,,,,,,,,
2018_170,Setúbal,,135,,148,135.0,141.0,136.0,,,,,,,,,,,,,,,,
2018_171,Faro,,120,,122,120.0,106.0,106.0,,,,,,,,,,,,,,,,
2018_172,Porto,,165,,191,200.0,171.0,172.0,,,,,,,,,,,,,,,,
2018_173,Porto,97.0,105,,117,,,,,,,,,95.0,,,,,,,,,,
2018_174,Outro,,156,,187,179.0,161.0,,197.0,,,,,,,,,,,,,,,
2018_175,Outro,110.0,130,,127,,,,,,,,,116.0,,,,,,,,,,
2018_176,Faro,,121,,152,160.0,141.0,146.0,,,,,,,,,,,,,,,,
2018_177,Porto,,110,,115,102.0,,,,95.0,,,,105.0,,,,,,,,,,
2018_178,Outro,,130,,157,168.0,140.0,140.0,,,150.0,,,,,,,,,,,,,
2018_179,Outro,92.0,98,108.0,117,,,,,,,,,,,,,,,,,,,
2018_180,Faro,101.0,114,,126,,,,,,,,,,128.0,,,,,,,,,
2018_181,Porto,71.0,87,,101,,,69.0,,,,,,,,102.0,,,,,,,,
2018_182,Outro,,135,,173,185.0,,,,177.0,,,,129.0,,,,,,,,,,
2018_183,Lisboa,,100,,102,96.0,,,,85.0,,,,79.0,,,,,,,,,,
2018_184,Coimbra,,147,,194,168.0,200.0,,195.0,,,,,,,,,,,,,,,
2018_185,Porto,162.0,136,168.0,166,,,,,,,,,,,,,,,,,,,
2018_186,Braga,80.0,85,108.0,104,,,,,,,,,,,,,,,,,,,
2018_187,Porto,,115,128.0,151,147.0,,,,147.0,,,,,,,,,,,,,,
2018_188,Porto,97.0,114,,116,,,,,,,,,,105.0,,,,,,,,,
2018_189,Setúbal,109.0,129,132.0,140,,,,,,,,,,,,,,,,,,,
2018_190,Outro,135.0,165,,168,,,,,,,,,,,160.0,,,,,,,,
2018_191,Outro,,129,,139,136.0,115.0,118.0,,,,,,,,,,,,,,,,
2018_192,Outro,196.0,145,,196,,,,,,,,,,,200.0,,,,,,,,
2018_193,Outro,97.0,115,110.0,116,,,,,,,,,,,,,,,,,,,
2018_194,Setúbal,,116,,154,,,,165.0,,145.0,,,,,,,,,,,,,
2018_195,Porto,,105,,102,78.0,88.0,100.0,,,,,,,,,,,,,,,,
2018_196,Lisboa,,122,,127,109.0,,,,119.0,,,,110.0,,,,,,,,,,
2018_197,Lisboa,117.0,146,130.0,141,,,,,,,,,,,,,,,,,,,
2018_198,Faro,,125,,146,128.0,123.0,136.0,,,,,,,,,,,,,,,,
2018_199,Outro,,120,,125,108.0,109.0,115.0,,,,,,,,,,,,,,,,
2018_200,Outro,,78,,100,56.0,69.0,80.0,,,,,,,,,,,,,,,,
2018_201,Lisboa,,122,,127,105.0,127.0,,117.0,,,,,,,,,,,,,,,
2018_202,Outro,,121,,142,115.0,,,,140.0,,,,113.0,,,,,,,,,,
2018_203,Lisboa,77.0,95,110.0,104,,,,,,,,,,,,,,,,,,,
2018_204,Faro,,108,,130,,,,100.0,,143.0,,,,,,,,,,,,,
2018_205,Lisboa,,106,116.0,133,106.0,,,,108.0,,,,,,,,,,,,,,
2018_206,Braga,,132,,152,137.0,142.0,125.0,,,,,,,,,,,,,,,,
2018_207,Leiria,99.0,116,,124,,,,,,,,,,118.0,,,,,,,,,
2018_208,Lisboa,,45,,100,27.0,59.0,40.0,13.0,,,,,,,,,,,,,,,
2018_209,Coimbra,,137,,161,135.0,172.0,139.0,,,,,,,,,,,,,,,,
2018_210,Lisboa,,147,,189,178.0,172.0,195.0,,,,,,,,,,,,,,,,
2018_211,Outro,76.0,80,100.0,100,,,,,,,,,,,,,,,,,,,
2018_212,Lisboa,,116,,127,101.0,126.0,,110.0,,,,,,,,,,,,,,,
2018_213,Outro,87.0,88,100.0,100,,,,,,,,,,,,,,,,,,,
2018_214,Outro,,108,,126,120.0,127.0,,110.0,,,,,,,,,,,,,,,
2018_215,Porto,123.0,120,,146,,,,,,,,,,,155.0,,,,,,,,
2018_216,Braga,,117,,145,145.0,126.0,127.0,,,,,,,,,,,,,,,,
2018_217,Outro,146.0,135,,164,,,,,,,,,,,168.0,,,,,,,,
2018_218,Leiria,,125,,150,135.0,148.0,135.0,,,,,,,,,,,,,,,,
2018_219,Coimbra,,115,,136,105.0,117.0,,146.0,,,,,,,,,,,,,,,
2018_220,Lisboa,,102,,105,85.0,90.0,,85.0,,,,,,,,,,,,,,,
2018_221,Outro,,105,,123,,,,,,139.0,,89.0,,,,,,,,,,,
2018_222,Faro,,155,,179,170.0,182.0,152.0,,,,,,,,,,,,,,,,
2018_223,Porto,,61,88.0,100,47.0,,,,49.0,,,,,,,,,,,,,,
2018_224,Braga,,160,,174,,,,167.0,,162.0,,,,,,,,,,,,,
2018_225,Coimbra,,111,,131,100.0,110.0,,145.0,,,,,,,,,,,,,,,
2018_226,Braga,196.0,150,,177,,,,,,,,,155.0,,,,,,,,,,
2018_227,Leiria,,135,,162,142.0,158.0,,171.0,,,,,,,,,,,,,,,
2018_228,Outro,116.0,135,,167,,,,175.0,,,,,,,172.0,,,,,,,,
2018_229,Lisboa,,87,110.0,100,70.0,,,,86.0,,,,,,,,,,,,,,
2018_230,Outro,196.0,165,,189,,,,,,,,,167.0,,,,,,,,,,
2018_231,Lisboa,,90,,104,90.0,90.0,105.0,,,,,,,,,,76.0,,,,,,
2018_232,Lisboa,,85,,100,85.0,82.0,85.0,,,,,,,,,,,,,,,,
2018_233,Porto,,105,,136,,,105.0,135.0,,135.0,,,,,,,,,,,,,
2018_234,Outro,,128,,139,136.0,122.0,120.0,,,,,,,,,,,,,,,,
2018_235,Outro,,95,,100,78.0,86.0,89.0,,,,,,,,,,,,,,,,
2018_236,Porto,,130,,149,137.0,120.0,,153.0,,,,,,,,,,,,,,,
2018_237,Lisboa,,119,,150,,,,150.0,,147.0,,,,,,,,,,,,,
2018_238,Porto,,52,,100,,,,21.0,,100.0,,,,,,,,,,,,,
2018_239,Outro,100.0,115,,124,,,,,,,,,103.0,,,,,,,,,,
2018_240,Lisboa,,116,,123,110.0,135.0,110.0,,,,,,,,,,,,,,,,
2018_241,Porto,,101,,116,115.0,100.0,111.0,,,,,,,,,,,,,,,,
2018_242,Lisboa,,75,72.0,100,48.0,,,,51.0,,,,,,,,,,,,,,
2018_243,Braga,,95,,112,105.0,95.0,,95.0,,,,,,,,,,,,,,,
2018_244,Porto,,125,,150,150.0,135.0,147.0,,,,,,,,,,,,,,,,
2018_245,Outro,,86,92.0,100,71.0,,,,75.0,,,,,,,,,,,,,,
2018_246,Outro,,95,,101,72.0,86.0,92.0,,,,,,,,,,,,,,,,
2018_247,Porto,,119,,147,115.0,143.0,128.0,,,,,,,,,,,,,,,,
2018_248,Setúbal,,81,98.0,100,63.0,,,,82.0,,,,,,,,,,,,,,
2018_249,Porto,,155,,194,195.0,200.0,161.0,,,,,,,,,,,,,,,,
2018_250,Outro,155.0,190,,198,,,,,,,,,,,200.0,,,,,,,,
2018_251,Lisboa,150.0,155,,170,,,,,,,,,166.0,,,,,,,,,,
2018_252,Porto,,125,,165,128.0,153.0,148.0,,,,,,,,,,,,,,,,
2018_253,Lisboa,,120,124.0,130,102.0,,,,109.0,,,,,,,,,,,,,,
2018_254,Porto,,135,,148,121.0,122.0,145.0,,,,,,,,,,,,,,,,
2018_255,Outro,,101,,100,85.0,91.0,98.0,,,,,,,,,,,,,,,,
2018_256,Outro,133.0,130,134.0,146,,,,,,,,,,,,,,,,,,,
2018_257,Setúbal,,79,88.0,100,32.0,,,,43.0,,,,,,,,,,,,,,
2018_258,Lisboa,,111,,121,115.0,,,,109.0,,,,92.0,,,,,,,,,,
2018_259,Porto,,95,,101,66.0,95.0,,85.0,,,,,,,,,,,,,,,
2018_260,Braga,,156,,179,142.0,152.0,,195.0,,,,,,,,,,,,,,,
2018_261,Porto,,190,,196,200.0,,,,200.0,,,,149.0,,,,,,,,,,
2018_262,Coimbra,,136,,166,166.0,140.0,137.0,,,,,,,,,,,,,,,,
2018_263,Setúbal,,69,,100,45.0,58.0,61.0,,,,,,,,,,,,,,,,
2018_264,Outro,131.0,146,,169,,,,,,,,,,,177.0,,,,,,,,
2018_265,Braga,,155,,181,157.0,,,,176.0,,,,199.0,,,,,,,,,,
2018_266,Lisboa,,177,,166,,,,,,162.0,,135.0,,,,,,,,,,,
2018_267,Setúbal,153.0,145,,161,,,,,,,,,,145.0,,,,,,,,,
2018_268,Lisboa,,87,,100,45.0,69.0,86.0,,,105.0,,,,,,,,,,,,,
2018_269,Lisboa,,125,,137,110.0,129.0,122.0,,,,,,,,,,,,,,,,
2018_270,Braga,,101,110.0,120,95.0,,,,107.0,,,,,,,,,,,,,,
2018_271,Lisboa,146.0,145,,166,,,,,,,,,159.0,,,,,,,,,,
2018_272,Lisboa,,165,,190,160.0,200.0,195.0,,,,,,,,,,,,,,,,
2018_273,Outro,,155,,188,,,,199.0,,165.0,,,,,,,,,,,,,
2018_274,Lisboa,,99,,109,101.0,96.0,,90.0,,,,,,,,,,,,,,,
2018_275,Lisboa,120.0,125,150.0,147,,,,,,,,,,,,,,,,,,,
2018_276,Lisboa,,86,,100,76.0,79.0,78.0,,,,,,,,,,,,,,,,
2018_277,Braga,,125,,133,,,,,,144.0,,101.0,,,,,,,,,,,
2018_278,Lisboa,196.0,151,,200,,,,,,,,,,,200.0,,,,,,,,
2018_279,Lisboa,72.0,103,,100,,,,,,,,,85.0,,,,,,,,,,
2018_280,Braga,150.0,141,,159,,,,,,,,,160.0,,,,,,,,,,
2018_281,Lisboa,,125,,141,125.0,128.0,130.0,,,,,,,,,,,,,,,,
2018_282,Porto,106.0,128,,135,,,,,,,,,,125.0,,,,,,,,,
2018_283,Lisboa,,167,,199,200.0,193.0,,181.0,,,,,,,,,,,,,,,
2018_284,Porto,,151,,164,145.0,150.0,151.0,,,,,,,,,,,,,,,,
2018_285,Porto,,159,,199,200.0,200.0,155.0,,,,,,,,,,,,,,,,
2018_286,Braga,142.0,190,,186,,,,,,,,,,190.0,,,,,,,,,
2018_287,Outro,,145,,188,185.0,195.0,,175.0,,,,,,,,,,167.0,,,,,
2018_288,Lisboa,,190,,200,200.0,186.0,195.0,,,,,,,,,,,,,,,,
2018_289,Outro,,115,,127,95.0,117.0,97.0,,,,,,,,,,,,143.0,,,,
2018_290,Lisboa,,131,,157,169.0,141.0,135.0,,,,,,,,,,,,,,,,
2018_291,Outro,,100,,100,76.0,96.0,,57.0,,,,,,,,,,,,,,,
2018_292,Lisboa,,95,,106,77.0,87.0,102.0,,,,,,,,,,,,,,,,
2018_293,Lisboa,,157,,168,179.0,,,,165.0,,,,156.0,126.0,,,,,,,,,
2018_294,Braga,,70,,100,60.0,65.0,63.0,,,,,,,,,,,,,,,,
2018_295,Porto,,85,,107,,,,,,121.0,,76.0,,,,,,,,,,,
2018_296,Setúbal,,130,,152,157.0,131.0,153.0,,,,,,,,,,,,,,,,
2018_297,Porto,,107,,131,115.0,113.0,,134.0,,,,,,,,,,,,,,,
2018_298,Porto,,147,,174,160.0,176.0,158.0,,,,,,,,,,,,,,,,
2018_299,Porto,120.0,126,140.0,139,,,,,,,,,,,,,,,,,,,
2018_300,Lisboa,69.0,78,78.0,100,,,,,,,,,,,,,,,,,,,
2018_301,Porto,168.0,135,,164,,,,,,,,,,145.0,,,,,,,,,
2018_302,Lisboa,,109,,118,97.0,107.0,100.0,,,,,,,,,,,,,,,,
2018_303,Coimbra,,147,,169,,,,,,158.0,,155.0,,,,,,,,,,,
2018_304,Outro,,148,148.0,171,171.0,,,,161.0,,,,,,,,,,,,,,
2018_305,Braga,88.0,105,110.0,119,,,,,,,,,,,,,,,,,,,
2018_306,Coimbra,,95,,110,,,,,,126.0,,84.0,,,,,,,,,,,
2018_307,Lisboa,,75,,100,51.0,58.0,82.0,,,,,,,,,,,,,,,,
2018_308,Leiria,75.0,95,,100,,,,,,,,,76.0,,,,,,,,,,
2018_309,Setúbal,,155,,163,149.0,161.0,155.0,,,,,,,,,,,,,,,,
2018_310,Lisboa,95.0,115,,120,,,,,,,,,98.0,,,,,,,,,,
2018_311,Outro,,147,,188,172.0,,,,191.0,,,,197.0,,,,,,,,,,
2018_312,Porto,,146,190.0,200,200.0,,,,200.0,,,,,,,,,,,,,,
2018_313,Braga,135.0,142,,157,,,,,,,,,,149.0,,,,,,,,,
2018_314,Porto,,100,,103,86.0,90.0,,73.0,,,,,,,,,,,,,,,
2018_315,Lisboa,122.0,151,164.0,160,,,,,,,,,,,,,,,,,,,
2018_316,Outro,,138,,162,157.0,152.0,147.0,,,,,,,,,,,,,,,,
2018_317,Outro,136.0,160,,166,,,,,,,,,162.0,,,,,,,,,,
2018_318,Outro,,120,,123,113.0,111.0,107.0,,,,,,,,,,,,,,,,
2018_319,Porto,,125,,137,129.0,121.0,117.0,,,,,,,,,,,,,,,,
